Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose"
0.0,-19.339243268354117,28.709506935907783,172.173829296564,176.29437041740977,132.09878321732117,134.90095857641373,200.99061530103702,198.98926782655985,"0.564, 0.323","0.564, 0.329","0.520, 0.438","0.563, 0.464","0.441, 0.522","0.430, 0.530","0.482, 0.696","0.476, 0.724","0.497, 0.567","0.575, 0.596","0.464, 0.880","0.451, 0.941","0.673, 0.307"
0.0333667000333667,-9.761361714198483,29.453311655265598,168.62749379403164,172.94415704938314,132.59505460570725,134.88898856964667,201.4875331331768,198.8829994319968,"0.560, 0.320","0.564, 0.329","0.493, 0.429","0.561, 0.464","0.438, 0.522","0.433, 0.531","0.484, 0.696","0.476, 0.724","0.456, 0.548","0.576, 0.595","0.464, 0.883","0.451, 0.940","0.673, 0.307"
0.0667334000667334,-1.7984237253770559,30.061758196946876,165.73745256467538,170.39456694768515,132.98436233496167,134.88205897267758,201.87314700320903,198.8024724395713,"0.558, 0.318","0.565, 0.329","0.487, 0.426","0.559, 0.465","0.437, 0.522","0.434, 0.531","0.484, 0.696","0.476, 0.723","0.452, 0.548","0.575, 0.595","0.464, 0.883","0.452, 0.940","0.673, 0.306"
0.1001001001001001,4.669666014176816,30.539605138025358,163.4569968845103,168.5668430659297,133.27266704709834,134.88120743082993,202.1590535699114,198.74599982965464,"0.558, 0.317","0.565, 0.329","0.491, 0.427","0.558, 0.465","0.437, 0.522","0.435, 0.531","0.485, 0.696","0.476, 0.723","0.454, 0.550","0.575, 0.595","0.464, 0.883","0.452, 0.939","0.673, 0.305"
0.1334668001334668,9.763002820529792,30.89161105557479,161.73941802955142,167.38222835773075,133.4659293841312,134.88747158942712,202.35684949206166,198.7118945826183,"0.558, 0.316","0.565, 0.330","0.493, 0.427","0.557, 0.465","0.432, 0.521","0.437, 0.531","0.484, 0.694","0.477, 0.723","0.468, 0.566","0.575, 0.595","0.464, 0.883","0.452, 0.938","0.673, 0.305"
0.1668335001668335,13.601682009748515,31.1225345266689,160.5380072758138,166.76196577670223,133.57010998807414,134.90188909379256,202.47813142843754,198.6984696788337,"0.558, 0.317","0.565, 0.330","0.494, 0.433","0.556, 0.464","0.430, 0.520","0.439, 0.531","0.484, 0.693","0.477, 0.721","0.478, 0.569","0.575, 0.595","0.464, 0.879","0.452, 0.936","0.673, 0.305"
0.2002002002002002,16.30579889789965,31.237134128381438,159.80605589931253,166.62729827645808,133.59116950094116,134.92549758924972,202.53449603781678,198.70403809867219,"0.558, 0.317","0.565, 0.330","0.495, 0.436","0.556, 0.464","0.430, 0.520","0.439, 0.530","0.483, 0.693","0.477, 0.721","0.489, 0.570","0.574, 0.595","0.464, 0.879","0.452, 0.936","0.670, 0.305"
0.2335669002335669,17.99544880104984,31.240168437786142,159.4968551760626,166.89946881061223,133.53506856474615,134.959334721122,202.53753997897715,198.7269128225052,"0.557, 0.318","0.565, 0.330","0.496, 0.436","0.556, 0.461","0.430, 0.520","0.438, 0.530","0.483, 0.692","0.477, 0.720","0.459, 0.556","0.574, 0.595","0.464, 0.878","0.452, 0.936","0.668, 0.306"
0.2669336002669336,18.790727035265746,31.13639603195675,159.56369638207914,167.49972033277862,133.40776782150303,135.0044381347328,202.49885991069635,198.76540683070414,"0.555, 0.318","0.564, 0.330","0.486, 0.431","0.555, 0.460","0.429, 0.520","0.438, 0.530","0.483, 0.692","0.477, 0.720","0.446, 0.551","0.573, 0.594","0.464, 0.878","0.452, 0.936","0.667, 0.306"
0.3003003003003003,18.811728916614022,30.930575487967005,159.95987079337712,168.3492957965712,133.21522791322573,135.0618454754056,202.43005249175215,198.8178331036404,"0.554, 0.318","0.564, 0.330","0.489, 0.433","0.554, 0.460","0.430, 0.521","0.435, 0.530","0.484, 0.691","0.477, 0.719","0.447, 0.550","0.572, 0.591","0.464, 0.875","0.452, 0.936","0.665, 0.307"
