Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose"
0.0,1.2980880637233851,2.0897688967871075,181.67269008513134,168.15190286022246,158.3441277869135,206.60004375748068,190.39633380234673,171.75513474538099,"0.567, 0.278","0.406, 0.292","0.542, 0.407","0.427, 0.421","0.534, 0.477","0.445, 0.485","0.572, 0.650","0.401, 0.648","0.515, 0.532","0.472, 0.536","0.578, 0.828","0.379, 0.832","0.470, 0.265"
0.033366700033366704,1.3523019165634511,1.4764687102111689,181.69413266693144,169.4085335670563,159.52550794409112,206.4235090247441,189.91792358004096,171.90635173179172,"0.566, 0.276","0.406, 0.293","0.543, 0.408","0.429, 0.424","0.536, 0.478","0.445, 0.485","0.572, 0.651","0.401, 0.650","0.518, 0.530","0.472, 0.538","0.578, 0.828","0.379, 0.833","0.470, 0.265"
0.06673340006673341,0.9271872848036873,1.007351230395536,182.37321255166958,170.16346359158248,160.13610480167517,206.07401507656303,189.53709444517784,172.34520314088616,"0.566, 0.275","0.406, 0.293","0.544, 0.409","0.430, 0.424","0.536, 0.478","0.445, 0.484","0.572, 0.654","0.401, 0.652","0.519, 0.529","0.472, 0.538","0.578, 0.829","0.379, 0.834","0.471, 0.266"
0.1001001001001001,0.03701325087292279,0.8703664771474303,183.97719413451526,170.00513428362234,161.03743414587416,205.31065609829847,188.79477258664204,172.7781056694229,"0.564, 0.274","0.406, 0.292","0.545, 0.410","0.430, 0.425","0.536, 0.478","0.444, 0.483","0.571, 0.654","0.401, 0.652","0.521, 0.528","0.473, 0.541","0.578, 0.829","0.379, 0.834","0.470, 0.266"
0.13346680013346682,0.010805187214702012,1.012839724036587,184.33811206258747,170.048439981628,161.26548056368495,205.43343644419247,188.45474546739848,173.12342169852778,"0.564, 0.274","0.405, 0.294","0.545, 0.410","0.430, 0.429","0.537, 0.475","0.444, 0.482","0.569, 0.644","0.401, 0.652","0.520, 0.527","0.474, 0.545","0.578, 0.829","0.379, 0.834","0.470, 0.267"
0.16683350016683351,0.09391952016449685,1.191163116804492,185.5133379191992,170.08311370100398,162.12554365773892,206.0306488355892,188.1344192827222,173.46181207118323,"0.561, 0.275","0.403, 0.295","0.545, 0.413","0.429, 0.431","0.537, 0.476","0.443, 0.482","0.569, 0.647","0.401, 0.653","0.519, 0.527","0.473, 0.546","0.578, 0.829","0.378, 0.834","0.469, 0.267"
0.2002002002002002,1.3395529731848266,2.063521524465404,184.8251557579719,169.51084101226493,164.05123069375844,207.51777046466285,187.58258624301425,171.9358565725922,"0.556, 0.275","0.400, 0.297","0.540, 0.411","0.426, 0.430","0.537, 0.477","0.443, 0.482","0.569, 0.654","0.398, 0.654","0.516, 0.526","0.471, 0.545","0.578, 0.830","0.377, 0.834","0.469, 0.266"
0.2335669002335669,1.6401982460129978,1.9512807649845856,185.75161820519193,169.10549689224916,164.0842664406124,206.89199298132985,187.23497200226893,171.47365996488503,"0.554, 0.275","0.398, 0.298","0.537, 0.410","0.423, 0.430","0.535, 0.476","0.440, 0.481","0.568, 0.654","0.395, 0.654","0.511, 0.526","0.469, 0.545","0.578, 0.830","0.377, 0.834","0.469, 0.266"
0.26693360026693363,2.310715304660332,4.267611060822811,187.1132949202398,166.36310166149417,163.86594520141134,206.06230969151855,187.4743105365461,171.67312453058207,"0.552, 0.275","0.397, 0.298","0.534, 0.410","0.415, 0.428","0.534, 0.476","0.437, 0.480","0.568, 0.654","0.394, 0.654","0.504, 0.526","0.461, 0.543","0.578, 0.829","0.377, 0.834","0.467, 0.266"
0.3003003003003003,1.6082909901511577,4.071646004522859,188.77115548877995,167.16687980869548,163.60354580155936,204.77506140744114,187.07587911412818,172.59903073717,"0.550, 0.275","0.396, 0.297","0.534, 0.408","0.414, 0.428","0.532, 0.474","0.434, 0.480","0.566, 0.647","0.394, 0.653","0.501, 0.524","0.456, 0.540","0.578, 0.825","0.377, 0.834","0.463, 0.265"
0.33366700033366703,0.9027019513837125,4.7923512007376585,194.680162606479,172.00764921605912,164.13754088653343,205.25112169968443,187.4111517931123,172.42291576387743,"0.546, 0.275","0.394, 0.298","0.534, 0.410","0.411, 0.428","0.531, 0.476","0.434, 0.480","0.566, 0.649","0.394, 0.655","0.492, 0.525","0.443, 0.541","0.578, 0.826","0.377, 0.835","0.458, 0.262"
0.3670337003670337,0.39202530226011423,4.895498447996366,199.32580082905065,176.9812710378139,162.62832243786946,204.67494232964003,188.73687361942578,172.85407302729925,"0.544, 0.276","0.394, 0.298","0.532, 0.415","0.409, 0.427","0.527, 0.487","0.434, 0.491","0.565, 0.654","0.394, 0.666","0.482, 0.525","0.429, 0.540","0.578, 0.831","0.375, 0.854","0.452, 0.260"
0.4004004004004004,1.5571197851114753,7.026418849484443,203.19307566284223,177.57114525279937,163.51213371784746,206.2957947498755,188.6162437123401,171.86164565954414,"0.541, 0.278","0.391, 0.297","0.528, 0.421","0.404, 0.427","0.527, 0.493","0.436, 0.494","0.565, 0.660","0.394, 0.668","0.471, 0.527","0.420, 0.539","0.578, 0.833","0.376, 0.853","0.446, 0.261"
0.4337671004337671,9.09955545400379,11.582709440990564,198.3057438546118,176.42211710112662,167.28687820784054,209.33118435816837,187.1166262842683,169.59759976400682,"0.536, 0.280","0.392, 0.294","0.510, 0.420","0.396, 0.415","0.531, 0.495","0.441, 0.494","0.566, 0.667","0.393, 0.667","0.452, 0.525","0.408, 0.526","0.578, 0.838","0.377, 0.847","0.444, 0.261"
0.4671338004671338,12.377772610541008,14.167869349677222,200.33230972502483,180.30118850810587,168.7305583322575,210.38772221529734,186.93916771023595,168.14544610810842,"0.533, 0.284","0.392, 0.292","0.501, 0.425","0.391, 0.402","0.532, 0.497","0.442, 0.494","0.566, 0.667","0.393, 0.660","0.437, 0.525","0.391, 0.467","0.578, 0.837","0.379, 0.840","0.441, 0.262"
0.5005005005005005,15.651695557901418,16.931304511735988,204.8422606602339,182.64645132999726,170.0327219612388,210.25548862197448,186.56276470546274,167.92575871175706,"0.528, 0.286","0.392, 0.291","0.492, 0.424","0.386, 0.394","0.532, 0.500","0.442, 0.495","0.565, 0.668","0.393, 0.660","0.412, 0.522","0.379, 0.464","0.578, 0.838","0.379, 0.840","0.437, 0.262"
0.5338672005338673,16.165724232524603,19.58968480642483,213.26074535508175,184.86174226931982,171.47761089843777,210.6006955878604,185.61592560893118,167.54608696754443,"0.525, 0.290","0.391, 0.290","0.488, 0.434","0.381, 0.397","0.532, 0.500","0.442, 0.495","0.564, 0.669","0.393, 0.656","0.395, 0.520","0.365, 0.478","0.579, 0.839","0.380, 0.837","0.435, 0.260"
0.5672339005672339,16.656183718899836,18.37860145691863,218.5252400824655,192.03709678225152,170.48483284746592,207.49166979997062,186.568066849263,169.56674466154473,"0.520, 0.292","0.390, 0.289","0.490, 0.411","0.379, 0.399","0.528, 0.501","0.437, 0.499","0.563, 0.672","0.393, 0.662","0.402, 0.477","0.355, 0.472","0.579, 0.840","0.380, 0.837","0.434, 0.245"
0.6006006006006006,16.885357510550048,17.460187292927596,230.56667028761424,197.00766133047065,167.7678960025666,204.89385605268495,187.85197807194322,170.90499643792162,"0.518, 0.296","0.390, 0.289","0.487, 0.403","0.378, 0.399","0.522, 0.503","0.433, 0.501","0.562, 0.673","0.393, 0.664","0.404, 0.439","0.367, 0.426","0.578, 0.839","0.380, 0.837","0.431, 0.244"
0.6339673006339673,38.17785208923611,18.293576859812873,228.05169690594857,181.92852807856025,168.66027169582304,204.20046451308787,186.949083541059,171.10483379791316,"0.513, 0.299","0.389, 0.289","0.437, 0.403","0.376, 0.397","0.520, 0.505","0.431, 0.502","0.559, 0.673","0.393, 0.667","0.322, 0.414","0.369, 0.442","0.578, 0.839","0.380, 0.837","0.428, 0.244"
0.6673340006673341,2.248258941021383,21.81306916220856,203.51105095630797,215.19507913098084,170.60375521661084,204.46183940704395,185.3037663992642,170.24210858077942,"0.510, 0.302","0.390, 0.285","0.511, 0.409","0.371, 0.381","0.520, 0.505","0.432, 0.502","0.557, 0.674","0.391, 0.669","0.489, 0.461","0.341, 0.410","0.578, 0.839","0.380, 0.837","0.430, 0.245"
0.7007007007007008,6.389127787262643,22.2580116338495,216.20193195533716,220.7798034637308,171.76976043411162,204.37249241525421,183.60582977161718,169.90541336372831,"0.509, 0.306","0.391, 0.283","0.527, 0.416","0.372, 0.376","0.520, 0.505","0.432, 0.502","0.555, 0.677","0.391, 0.670","0.495, 0.479","0.336, 0.404","0.577, 0.839","0.380, 0.839","0.427, 0.245"
0.7340674007340674,6.91098351682021,22.092232101411728,191.2266691132274,204.4178728696605,173.09623646428585,204.18704009021948,182.12764861790967,169.3500239855667,"0.506, 0.311","0.392, 0.283","0.526, 0.416","0.373, 0.378","0.519, 0.506","0.432, 0.503","0.553, 0.681","0.390, 0.672","0.526, 0.470","0.351, 0.408","0.577, 0.844","0.380, 0.840","0.419, 0.245"
0.7674341007674341,25.873671552406186,33.7485297918315,74.61315129841378,48.37660431609787,174.6639818336314,201.3067006432473,180.29580927299062,168.58731435973317,"0.497, 0.312","0.405, 0.288","0.467, 0.394","0.371, 0.356","0.516, 0.516","0.432, 0.510","0.549, 0.691","0.389, 0.676","0.395, 0.342","0.357, 0.319","0.577, 0.846","0.380, 0.842","0.412, 0.245"
