Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose"
0.0,71.06456346309403,92.9758276231139,159.8580419548268,164.3700895386172,130.70462982686615,131.77699810474945,210.461772001135,212.39765899791553,"0.597, 0.336","0.547, 0.358","0.579, 0.426","0.562, 0.475","0.482, 0.535","0.443, 0.546","0.534, 0.693","0.488, 0.716","0.594, 0.507","0.598, 0.571","0.509, 0.859","0.434, 0.908","0.636, 0.295"
0.0333778371161548,45.94080560561123,65.75997152913452,161.95006607529177,167.11374112410286,130.66674474030614,133.11804229109967,209.62899032976767,212.01451254628606,"0.593, 0.336","0.548, 0.358","0.578, 0.426","0.562, 0.475","0.482, 0.535","0.443, 0.546","0.534, 0.692","0.488, 0.716","0.594, 0.491","0.599, 0.571","0.509, 0.858","0.435, 0.906","0.637, 0.296"
0.0667556742323097,25.559247454924062,43.062154598580946,163.6209752685944,168.77973831807662,130.6086228663389,134.4174633119733,208.8621302781348,211.5262387455226,"0.592, 0.336","0.549, 0.358","0.578, 0.433","0.562, 0.475","0.481, 0.536","0.443, 0.546","0.534, 0.692","0.488, 0.715","0.596, 0.534","0.598, 0.571","0.508, 0.858","0.436, 0.906","0.636, 0.296"
0.1001335113484646,9.649425519887089,24.647699658338638,164.8993256334103,169.4404703824344,130.52970638854526,135.67286431803043,208.16113126584264,210.9429575990474,"0.590, 0.336","0.550, 0.358","0.578, 0.443","0.562, 0.478","0.478, 0.536","0.443, 0.546","0.534, 0.691","0.488, 0.715","0.597, 0.556","0.594, 0.571","0.508, 0.858","0.436, 0.906","0.637, 0.296"
0.1335113484646194,-2.0591236906451087,10.281929535293074,165.81367326841516,169.16832657907213,130.4294374905061,136.88184845993104,207.52593271249745,210.27478911028277,"0.590, 0.337","0.550, 0.357","0.578, 0.447","0.561, 0.479","0.476, 0.536","0.441, 0.546","0.534, 0.691","0.487, 0.715","0.597, 0.560","0.591, 0.570","0.508, 0.858","0.436, 0.906","0.637, 0.296"
0.1668891855807743,-9.836863667817966,-0.26983294367029487,166.3925742722846,168.0356961698857,130.3072583558022,138.0420188883352,206.95647403770556,209.531853282651,"0.590, 0.338","0.549, 0.356","0.577, 0.448","0.554, 0.479","0.473, 0.536","0.439, 0.545","0.533, 0.691","0.487, 0.715","0.596, 0.560","0.583, 0.570","0.507, 0.858","0.435, 0.906","0.636, 0.297"
0.2002670226969292,-13.954257902776916,-7.242264951666002,166.66458474369426,166.11496841677103,130.1626111680144,139.15097875390293,206.45269466107317,208.72427011957444,"0.591, 0.340","0.545, 0.355","0.577, 0.446","0.549, 0.478","0.473, 0.537","0.438, 0.544","0.532, 0.690","0.486, 0.715","0.593, 0.553","0.580, 0.568","0.506, 0.858","0.435, 0.906","0.634, 0.297"
0.2336448598130841,-14.68176988666741,-10.870043661808609,166.65826078131983,163.47853258162408,129.99493811072352,140.2063312072943,206.0145340022066,207.86215962447534,"0.594, 0.341","0.540, 0.354","0.574, 0.445","0.541, 0.476","0.473, 0.537","0.436, 0.542","0.531, 0.690","0.486, 0.714","0.587, 0.550","0.577, 0.568","0.505, 0.859","0.435, 0.906","0.633, 0.297"
0.2670226969292389,-12.289863110634855,-11.387846247212622,166.40215848383693,160.19877792634068,129.80368136751042,141.20567939916936,205.64193148071215,206.95564180077602,"0.595, 0.347","0.533, 0.351","0.578, 0.447","0.534, 0.474","0.473, 0.536","0.435, 0.538","0.530, 0.690","0.484, 0.713","0.586, 0.552","0.573, 0.568","0.505, 0.860","0.435, 0.905","0.632, 0.297"
0.3004005340453938,-7.049001065824683,-9.030349880992645,165.9248339499212,156.34809371281685,129.58828312195593,142.1466264801881,205.33482651619602,206.01483665189878,"0.597, 0.351","0.524, 0.346","0.583, 0.448","0.529, 0.474","0.474, 0.536","0.433, 0.537","0.532, 0.689","0.483, 0.712","0.584, 0.552","0.568, 0.572","0.506, 0.860","0.434, 0.905","0.631, 0.297"
0.3337783711615487,0.7703527566176689,-4.032231736263114,165.2548432782483,151.9988692029484,129.34818555764085,143.0267756010106,205.09315852826455,205.0498641812659,"0.603, 0.353","0.515, 0.339","0.589, 0.451","0.517, 0.471","0.481, 0.537","0.432, 0.535","0.533, 0.687","0.481, 0.711","0.577, 0.547","0.554, 0.565","0.507, 0.860","0.434, 0.904","0.622, 0.294"
0.3671562082777036,10.897734865546767,3.3718310138613674,164.42074256749387,147.22349365863136,129.08283085814605,143.84372991229688,204.916866936524,204.07084439229965,"0.605, 0.356","0.510, 0.328","0.588, 0.455","0.502, 0.451","0.487, 0.537","0.432, 0.534","0.533, 0.682","0.477, 0.710","0.569, 0.546","0.538, 0.550","0.508, 0.857","0.434, 0.904","0.619, 0.293"
0.4005340453938584,23.06268176981723,12.947161196266237,163.4510879163336,142.09435634176154,128.79166120705233,144.595092564707,204.80589116058064,203.0878972884224,"0.609, 0.359","0.509, 0.317","0.587, 0.457","0.496, 0.438","0.491, 0.537","0.431, 0.532","0.528, 0.682","0.470, 0.709","0.559, 0.535","0.521, 0.544","0.507, 0.857","0.433, 0.903","0.620, 0.293"
