Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose"
0.0,0.09908593161519205,2.823134426572511,190.32557920297515,172.00284325847153,163.9119336858774,205.28218292203476,186.60847260222033,180.14506607976472,"0.499207079410553, 0.4022755026817322","0.40417686104774475, 0.4188304543495178","0.4938940107822418, 0.474810928106308","0.42221754789352417, 0.48823684453964233","0.4887949824333191, 0.5478799343109131","0.4309290051460266, 0.5474774837493896","0.5115650296211243, 0.6550244688987732","0.4049232602119446, 0.6555088758468628","0.47572779655456543, 0.5449792146682739","0.4504331052303314, 0.5561287999153137","0.5218919515609741, 0.7644887566566467","0.3791457712650299, 0.7614129185676575","0.4427337050437927, 0.3682919144630432"
0.033366700033366704,0.038000476800237354,2.8199716398759778,187.7857973928612,171.8497085218805,163.90289309865236,205.45881406380386,186.3652531266779,179.89188102441148,"0.4995492398738861, 0.4023129343986511","0.40381234884262085, 0.419213205575943","0.4942118227481842, 0.47636181116104126","0.4220340847969055, 0.48885902762413025","0.4889659881591797, 0.5477944612503052","0.4306710362434387, 0.5473102331161499","0.5115083456039429, 0.6544300317764282","0.4046971797943115, 0.6545349359512329","0.47959762811660767, 0.5456600189208984","0.4503157138824463, 0.5560983419418335","0.5222066640853882, 0.7641090750694275","0.37911710143089294, 0.7610117793083191","0.44235071539878845, 0.36830660700798035"
0.06673340006673341,0.08390931725677371,2.797291122443981,186.88172368000411,171.77884744075735,163.90498792046148,205.55057444222757,186.17493519997248,179.7384416346482,"0.49977001547813416, 0.4024130702018738","0.4036376476287842, 0.4196610450744629","0.4943750500679016, 0.47713786363601685","0.4219095706939697, 0.48935312032699585","0.4890666902065277, 0.5477003455162048","0.4304892122745514, 0.5471481084823608","0.5114547610282898, 0.6541083455085754","0.40454792976379395, 0.6539143323898315","0.4809730648994446, 0.5460132956504822","0.45011574029922485, 0.5560863614082336","0.5224268436431885, 0.7639044523239136","0.37910646200180054, 0.7607468366622925","0.4421425461769104, 0.3683296740055084"
0.1001001001001001,0.06509647475532268,2.6734880904953426,186.4066546052186,171.52080414025212,164.04455496498136,205.6337657324297,185.79793859718657,179.61187263562755,"0.499960333108902, 0.4025316834449768","0.40351057052612305, 0.419783353805542","0.4944527745246887, 0.4777325987815857","0.42168012261390686, 0.4895756244659424","0.48916497826576233, 0.5476690530776978","0.4303831160068512, 0.5470951795578003","0.5112024545669556, 0.6540690064430237","0.4044143259525299, 0.6535030007362366","0.4816649556159973, 0.5460940599441528","0.4499863088130951, 0.5560300350189209","0.5225533246994019, 0.7638404369354248","0.37906473875045776, 0.7605157494544983","0.44195467233657837, 0.36769193410873413"
0.13346680013346682,0.15050602756891476,2.5166108650516144,186.25254994387203,171.41079675780702,164.23050680784496,205.6861998616036,185.50447343915758,179.52594575471468,"0.500022292137146, 0.40253394842147827","0.40338316559791565, 0.4197789132595062","0.49463266134262085, 0.47828155755996704","0.4213871955871582, 0.4897049069404602","0.4893115162849426, 0.5476799607276917","0.43027085065841675, 0.5471290349960327","0.5110551714897156, 0.6540865302085876","0.4042300283908844, 0.6534340381622314","0.4822363257408142, 0.5463427305221558","0.4495735764503479, 0.5560187101364136","0.522672176361084, 0.7637927532196045","0.37897831201553345, 0.7603374719619751","0.4417095184326172, 0.365413635969162"
0.16683350016683351,0.2538024526008116,2.1370946102860455,186.05859413444435,170.94812341630436,164.38802960822986,205.7657191872478,185.1956997426504,179.46852543835206,"0.5000813007354736, 0.4026138186454773","0.40318483114242554, 0.41977953910827637","0.4947851598262787, 0.47918757796287537","0.42087334394454956, 0.4902028441429138","0.48939910531044006, 0.5477204322814941","0.43018779158592224, 0.5472291707992554","0.5108499526977539, 0.6540887951850891","0.40410900115966797, 0.6533768177032471","0.4828348755836487, 0.5468567609786987","0.4490499496459961, 0.5560980439186096","0.5227733850479126, 0.7637394666671753","0.3788983225822449, 0.7602604627609253","0.44157537817955017, 0.36437416076660156"
0.2002002002002002,0.4467484116455808,2.2745677340399517,186.43061789237146,170.63623543998517,164.45274901675126,205.54325329344968,185.02526006297035,179.58721257013005,"0.5000816583633423, 0.4025370478630066","0.40319737792015076, 0.41983094811439514","0.4950721263885498, 0.478726863861084","0.4209040701389313, 0.4901973605155945","0.48939865827560425, 0.5477145314216614","0.42992132902145386, 0.547197699546814","0.5107294917106628, 0.6540911197662354","0.40405091643333435, 0.6533754467964172","0.48290497064590454, 0.5464003086090088","0.44931164383888245, 0.55556720495224","0.5228548049926758, 0.7636854648590088","0.3788244426250458, 0.7602523565292358","0.4415404796600342, 0.36452406644821167"
0.2335669002335669,0.5741136712062391,2.3850913208411586,186.71079738325645,170.22850209153177,164.5226333905276,205.38169474995274,184.8388252145145,179.6632895588172,"0.5000613331794739, 0.4024572968482971","0.4031985402107239, 0.4199044108390808","0.49524933099746704, 0.4783703684806824","0.42092618346214294, 0.4901909828186035","0.48939257860183716, 0.5476983785629272","0.4297143518924713, 0.5471526384353638","0.5106084942817688, 0.6541034579277039","0.4040074348449707, 0.653323769569397","0.4829033315181732, 0.5460519790649414","0.44946280121803284, 0.5545045733451843","0.5229696035385132, 0.763659656047821","0.37878113985061646, 0.7602534890174866","0.4415382742881775, 0.36550748348236084"
0.26693360026693363,1.0890917080464086,2.565305911174227,187.53103800783626,170.22591651020235,164.7746752556868,205.42463356084662,184.4019856062117,179.69398535927704,"0.5000015497207642, 0.40218430757522583","0.4029957354068756, 0.4203755855560303","0.49585604667663574, 0.47848600149154663","0.421015202999115, 0.4902723729610443","0.48937493562698364, 0.5469279885292053","0.4295756220817566, 0.5466062426567078","0.5102559328079224, 0.6540879011154175","0.4039915204048157, 0.652895450592041","0.4831356406211853, 0.5461896657943726","0.44993725419044495, 0.5545361638069153","0.5229712724685669, 0.7635749578475952","0.3787558376789093, 0.7602541446685791","0.44183215498924255, 0.3650401532649994"
0.3003003003003003,1.4061577460120736,2.7369914341140666,187.9989636083978,170.18638618340506,164.90551455814037,205.4637222982822,184.19933570913443,179.69963936250832,"0.4999569356441498, 0.4019501209259033","0.4028279185295105, 0.42070943117141724","0.4962434768676758, 0.4784865379333496","0.421109676361084, 0.49035605788230896","0.48937496542930603, 0.5466054677963257","0.4294700622558594, 0.5463641881942749","0.5100921988487244, 0.6540816426277161","0.4040113389492035, 0.6524662971496582","0.4833284914493561, 0.5463390946388245","0.4504007399082184, 0.5545654296875","0.5229731202125549, 0.7635462880134583","0.378753662109375, 0.7602170705795288","0.4420119822025299, 0.36431801319122314"
0.33366700033366703,1.5980427966784359,2.673195608813112,188.56167508200778,169.92735632637192,164.92658919417332,205.4429091639606,184.1445460570129,179.6446986436008,"0.49992457032203674, 0.40193137526512146","0.4029320180416107, 0.4207381308078766","0.4964253008365631, 0.4799370765686035","0.4211137294769287, 0.4903758466243744","0.4894160330295563, 0.5461829900741577","0.42947036027908325, 0.5460265874862671","0.5102062225341797, 0.6540754437446594","0.40400800108909607, 0.6522204279899597","0.48302483558654785, 0.548049807548523","0.45064878463745117, 0.5545738935470581","0.5231872200965881, 0.7635499238967896","0.37877196073532104, 0.7604253888130188","0.44291743636131287, 0.36438268423080444"
0.3670337003670337,1.6891935689224555,2.5966472857391394,188.51855433655334,170.0409069618277,164.89817002925318,205.39937730507964,184.10347657533097,179.5981795016105,"0.49989089369773865, 0.4020053744316101","0.40303534269332886, 0.42057228088378906","0.4964345097541809, 0.4820292890071869","0.42114606499671936, 0.4904630184173584","0.48942556977272034, 0.5458089709281921","0.4294697344303131, 0.5456789135932922","0.5103000998497009, 0.6538082361221313","0.404003769159317, 0.6520093083381653","0.4828907549381256, 0.5517596006393433","0.4507984220981598, 0.5555696487426758","0.5234566330909729, 0.7635559439659119","0.3787989914417267, 0.7606059312820435","0.4436522126197815, 0.36443275213241577"
0.4004004004004004,1.5329006605733688,2.8484586099099953,187.75114526052135,171.47377344968444,164.81350857962067,205.20165619670297,184.4319672285823,179.47471209401124,"0.49946004152297974, 0.4019993841648102","0.40318232774734497, 0.4195180833339691","0.4959346652030945, 0.48309165239334106","0.42184051871299744, 0.4909469485282898","0.48937758803367615, 0.5453871488571167","0.42947059869766235, 0.5454531908035278","0.5105454921722412, 0.6526435613632202","0.4040626585483551, 0.6520155668258667","0.4828360080718994, 0.5555973052978516","0.4506995677947998, 0.5583921074867249","0.5236393809318542, 0.763566255569458","0.379214346408844, 0.7606353163719177","0.4444078803062439, 0.36368685960769653"
0.4337671004337671,1.5274176635942331,2.9929875365651943,187.6354440489256,172.33095675876234,164.75789940871914,205.1391728008814,184.60967302149405,179.4209454050612,"0.49923911690711975, 0.4020158648490906","0.40318483114242554, 0.41915011405944824","0.4957590699195862, 0.4838956892490387","0.4223591685295105, 0.49185752868652344","0.4893437922000885, 0.5449186563491821","0.42946043610572815, 0.5451369285583496","0.5106926560401917, 0.6519442796707153","0.4040783941745758, 0.6520227193832397","0.48279181122779846, 0.556921124458313","0.45067882537841797, 0.5604211688041687","0.5237505435943604, 0.7635834217071533","0.3794403374195099, 0.7606476545333862","0.44500818848609924, 0.3643006682395935"
0.4671338004671338,1.7480108557904355,3.0071159691468505,188.0322357176246,172.3034363746266,164.77377302752652,205.06187655930293,184.73538393795508,179.5143937693675,"0.4988555908203125, 0.4022097587585449","0.40318623185157776, 0.41903480887413025","0.4958481192588806, 0.4838770925998688","0.4224659502506256, 0.4921213984489441","0.48925095796585083, 0.5446701645851135","0.4294462203979492, 0.5450587868690491","0.5107876062393188, 0.6517771482467651","0.40412625670433044, 0.6522415280342102","0.48284679651260376, 0.5565629601478577","0.4508741796016693, 0.5607925653457642","0.5237969160079956, 0.7636350393295288","0.37948089838027954, 0.760667622089386","0.44573551416397095, 0.36469072103500366"
0.5005005005005005,1.911855792236582,2.802398341939444,188.15997940391944,172.42969522167607,164.76950837411746,205.01578761267024,184.90385621921118,179.6059841108538,"0.49853333830833435, 0.40304064750671387","0.4031718671321869, 0.4191820025444031","0.49590978026390076, 0.48426032066345215","0.4225442409515381, 0.493615061044693","0.4892219603061676, 0.5446510910987854","0.42943650484085083, 0.5450565218925476","0.5109544396400452, 0.6517709493637085","0.4041749835014343, 0.6525089144706726","0.4830752909183502, 0.5569733381271362","0.45127516984939575, 0.564163088798523","0.5238348245620728, 0.7636975646018982","0.37951990962028503, 0.7607165575027466","0.4462660253047943, 0.36460065841674805"
0.5338672005338673,1.955242209926477,2.410190902955788,188.0964293278859,172.12245934405118,164.56462406162188,205.09732308186588,185.1155375115369,179.46902682624992,"0.49850407242774963, 0.40444129705429077","0.40317440032958984, 0.41934552788734436","0.4958888590335846, 0.48549455404281616","0.4225939214229584, 0.49602746963500977","0.4891827702522278, 0.5446591973304749","0.42944175004959106, 0.5450687408447266","0.5112283825874329, 0.6517523527145386","0.4039972424507141, 0.6527378559112549","0.4830857813358307, 0.5585182905197144","0.4515411853790283, 0.5673560500144958","0.5240200161933899, 0.7637351751327515","0.3795275092124939, 0.7607445120811462","0.4464167654514313, 0.3646221458911896"
0.5672339005672339,1.981099338424604,2.265287510887131,188.06372876525796,171.93224018720616,164.4253477516822,205.17401346701914,185.2745726758602,179.32941263595833,"0.4984855055809021, 0.40514859557151794","0.4031771719455719, 0.4194687008857727","0.49587029218673706, 0.4861292839050293","0.42262959480285645, 0.4970506727695465","0.4891436994075775, 0.5446627140045166","0.42944130301475525, 0.5450727939605713","0.5114010572433472, 0.6517265439033508","0.40382498502731323, 0.6529035568237305","0.48309126496315, 0.5592487454414368","0.4517119824886322, 0.5685160160064697","0.5241047143936157, 0.7637588381767273","0.3795306086540222, 0.760768473148346","0.44657403230667114, 0.36463668942451477"
0.6006006006006006,2.5399338288045077,2.304996318917328,188.6857250903788,171.93530207061096,164.0632845763344,205.24533321628758,185.56939920371124,179.07680784671044,"0.49802255630493164, 0.4052256643772125","0.4031960070133209, 0.4196033477783203","0.49610018730163574, 0.4859349727630615","0.4226234555244446, 0.4967907965183258","0.4885427951812744, 0.544123649597168","0.4293421804904938, 0.5445135831832886","0.5114766955375671, 0.6517204642295837","0.40345001220703125, 0.6530052423477173","0.48317885398864746, 0.5588421821594238","0.45177769660949707, 0.5682591199874878","0.5241710543632507, 0.763781726360321","0.3795629143714905, 0.7607556581497192","0.4462013244628906, 0.3682519197463989"
0.6339673006339673,2.974913714592197,2.305577049596107,189.39022127930158,172.9863591629826,163.9203759622159,205.14321329114097,185.6577300773454,179.0998810743916,"0.49788418412208557, 0.4053710103034973","0.40323394536972046, 0.41962510347366333","0.49652615189552307, 0.48582640290260315","0.42254742980003357, 0.49663129448890686","0.4883359372615814, 0.5439351201057434","0.4292389750480652, 0.544386625289917","0.511519730091095, 0.6517318487167358","0.40340346097946167, 0.653092086315155","0.483245313167572, 0.5584933757781982","0.4500861167907715, 0.5680245161056519","0.5242590308189392, 0.7638920545578003","0.37958842515945435, 0.7607899308204651","0.4461210370063782, 0.36956772208213806"
0.6673340006673341,3.9388729208835684,1.9138362225755712,191.34317854997997,175.62993452614796,163.91300353865847,205.00101800209134,185.4775907704793,179.166153207105,"0.4978857636451721, 0.40563902258872986","0.40348976850509644, 0.4196222722530365","0.4977554380893707, 0.48539191484451294","0.42188161611557007, 0.4956672191619873","0.48818740248680115, 0.5432105660438538","0.4292396903038025, 0.5441571474075317","0.5113633871078491, 0.6517373323440552","0.40340813994407654, 0.6532734632492065","0.48324084281921387, 0.5571383833885193","0.4448138177394867, 0.5663869976997375","0.5242986083030701, 0.7639292478561401","0.3795255124568939, 0.7611362338066101","0.44606271386146545, 0.3706109821796417"
