Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Left Shoulder X,Left Shoulder Y,Right Shoulder X,Right Shoulder Y,Left Hip X,Left Hip Y,Right Hip X,Right Hip Y,Spine Shoulder X,Spine Shoulder Y,Spine Hip X,Spine Hip Y,Spine Angle,Leaning
0.0,2.558853987807532,1.7723347541621033,177.32274865085253,166.43337941232315,162.48665937967425,198.63234066415652,184.11082893818923,188.9749057467064,"0.512374997138977, 0.42965441942214966","0.39613011479377747, 0.469982773065567","0.5068555474281311, 0.5295931100845337","0.4309854507446289, 0.5601232051849365","0.49679940938949585, 0.5774186253547668","0.43074169754981995, 0.5791558623313904","0.5185685157775879, 0.7050677537918091","0.42699870467185974, 0.7075098156929016","0.5046273469924927, 0.6225918531417847","0.4790303111076355, 0.6304606199264526","0.535484254360199, 0.8623382449150085","0.3999583125114441, 0.8439301252365112","0.4381377696990967, 0.4461011290550232",0.512374997138977,0.42965441942214966,0.39613011479377747,0.469982773065567,0.49679940938949585,0.5774186253547668,0.43074169754981995,0.5791558623313904,0.45425255596637726,0.44981859624385834,0.4637705534696579,0.5782872438430786,-94.2371938143373,Forward
0.0333667000333667,3.174952697230098,3.2061837740574,178.2716490508995,167.45316902041895,163.42254676246097,198.1940908947967,183.46900560468688,189.55130567806177,"0.5119181871414185, 0.430856317281723","0.3964431881904602, 0.47059687972068787","0.5069473385810852, 0.5295907258987427","0.4317072331905365, 0.5606063604354858","0.4960581660270691, 0.5709443092346191","0.4300433099269867, 0.578952968120575","0.5184303522109985, 0.704723060131073","0.4272703528404236, 0.7087361216545105","0.5045997500419617, 0.6219269037246704","0.4789368212223053, 0.6311248540878296","0.5360076427459717, 0.8610672950744629","0.40084585547447205, 0.8438173532485962","0.43816304206848145, 0.44545236229896545",0.5119181871414185,0.430856317281723,0.3964431881904602,0.47059687972068787,0.4960581660270691,0.5709443092346191,0.4300433099269867,0.578952968120575,0.45418068766593933,0.45072659850120544,0.4630507379770279,0.574948638677597,-94.08426186174135,Forward
0.0667334000667334,3.718145827284294,4.40877575867664,179.17149755045466,168.30338081728877,164.2545130682287,197.7816952519854,182.90779004945912,190.04954051978896,"0.5113846659660339, 0.43105292320251465","0.3967614769935608, 0.4709588885307312","0.5070252418518066, 0.5294926166534424","0.4323667585849762, 0.5609225034713745","0.4957152307033539, 0.5674498677253723","0.4296124577522278, 0.5782247185707092","0.5182351469993591, 0.7048130035400391","0.42736682295799255, 0.7090789079666138","0.5046005249023438, 0.6211637854576111","0.4787992835044861, 0.6315842270851135","0.5360640287399292, 0.8608867526054382","0.40193676948547363, 0.8427734375","0.43833255767822266, 0.44531935453414917",0.5113846659660339,0.43105292320251465,0.3967614769935608,0.4709588885307312,0.4957152307033539,0.5674498677253723,0.4296124577522278,0.5782247185707092,0.45407307147979736,0.4510059058666229,0.46266384422779083,0.5728372931480408,-94.03345693469804,Forward
0.1001001001001001,4.191324791074907,5.394530995691388,180.02462435389938,168.9968216948831,164.98709284068912,197.3960475309452,182.4224439141296,190.4716762407765,"0.5099151730537415, 0.43104201555252075","0.39691609144210815, 0.4710436463356018","0.5070232152938843, 0.5284448862075806","0.43306270241737366, 0.5610288381576538","0.4954635202884674, 0.5668705105781555","0.42937493324279785, 0.5780445337295532","0.5180703401565552, 0.7048080563545227","0.42760077118873596, 0.7090669870376587","0.5043717622756958, 0.618986189365387","0.47890156507492065, 0.6320159435272217","0.5363543033599854, 0.8601707220077515","0.40195411443710327, 0.842255711555481","0.4384639263153076, 0.4419781267642975",0.5099151730537415,0.43104201555252075,0.39691609144210815,0.4710436463356018,0.4954635202884674,0.5668705105781555,0.42937493324279785,0.5780445337295532,0.4534156322479248,0.4510428309440613,0.46241922676563263,0.5724575221538544,-94.24104752585122,Forward
0.1334668001334668,4.597381001706721,6.177869772773204,180.83335966561503,169.54629854515247,165.62482062355397,197.0380415268984,182.0082288403217,190.8197788099128,"0.509065568447113, 0.4310075640678406","0.39699894189834595, 0.4710496962070465","0.5070240497589111, 0.5280840992927551","0.4334244132041931, 0.5611700415611267","0.4952191412448883, 0.5675432085990906","0.4287092089653015, 0.578212559223175","0.5180743932723999, 0.7053607106208801","0.4276255667209625, 0.7090930938720703","0.5041649341583252, 0.6174478530883789","0.4792913794517517, 0.6332257986068726","0.5375696420669556, 0.8601608276367188","0.40193629264831543, 0.8414767980575562","0.438533216714859, 0.44005322456359863",0.509065568447113,0.4310075640678406,0.39699894189834595,0.4710496962070465,0.4952191412448883,0.5675432085990906,0.4287092089653015,0.578212559223175,0.4530322551727295,0.45102863013744354,0.4619641751050949,0.5728778839111328,-94.19245601865875,Forward
0.1668335001668335,4.939205872284525,6.773212377593651,181.60003368998295,169.9646182600474,166.17223096053493,196.70857103506745,181.6604064696589,191.09591419608628,"0.5078907608985901, 0.43099746108055115","0.39697927236557007, 0.4693886339664459","0.506918728351593, 0.528092086315155","0.4329797625541687, 0.5602340698242188","0.4951968193054199, 0.568655788898468","0.42842793464660645, 0.5790774822235107","0.5179276466369629, 0.7094117999076843","0.4276154935359955, 0.7097697854042053","0.5042797923088074, 0.6172043085098267","0.47846588492393494, 0.6324582695960999","0.5376917123794556, 0.8602948188781738","0.4017109274864197, 0.8414764404296875","0.4381188750267029, 0.4401634633541107",0.5078907608985901,0.43099746108055115,0.39697927236557007,0.4693886339664459,0.4951968193054199,0.568655788898468,0.42842793464660645,0.5790774822235107,0.4524350166320801,0.45019304752349854,0.4618123769760132,0.5738666355609894,-94.3360677675834,Forward
0.2002002002002002,5.219690815913101,7.194979097824295,182.32697663138455,170.26458773151833,166.63385839534374,196.4085298506748,181.3742384437648,191.30214836818544,"0.5071796178817749, 0.4309181571006775","0.3969575762748718, 0.46804094314575195","0.5069050192832947, 0.5280450582504272","0.4326818883419037, 0.5596511960029602","0.4951978623867035, 0.5691691637039185","0.4282984137535095, 0.5794010162353516","0.5179073214530945, 0.7103028893470764","0.4276186525821686, 0.7100639343261719","0.5043767690658569, 0.6171022653579712","0.4780019223690033, 0.6320153474807739","0.5378797650337219, 0.8603103756904602","0.40155091881752014, 0.8414896726608276","0.43789586424827576, 0.4403158128261566",0.5071796178817749,0.4309181571006775,0.3969575762748718,0.46804094314575195,0.4951978623867035,0.5691691637039185,0.4282984137535095,0.5794010162353516,0.45206859707832336,0.4494795501232147,0.4617481380701065,0.574285089969635,-94.43481003088384,Forward
0.2335669002335669,5.441727245697238,7.457590221136695,183.0165186942012,170.45901385151583,167.01423747169207,196.13881176894284,181.1449864042628,191.4405472950987,"0.5055115222930908, 0.43074384331703186","0.3969256281852722, 0.467440664768219","0.5066816806793213, 0.5281415581703186","0.43218880891799927, 0.5580204725265503","0.49438270926475525, 0.5755292177200317","0.4277273118495941, 0.582797646522522","0.5176152586936951, 0.7143317461013794","0.42787712812423706, 0.7109500169754028","0.5049008131027222, 0.6168882846832275","0.47744542360305786, 0.6318761706352234","0.5380440950393677, 0.8606048822402954","0.40123844146728516, 0.841532826423645","0.43789157271385193, 0.4389194846153259",0.5055115222930908,0.43074384331703186,0.3969256281852722,0.467440664768219,0.49438270926475525,0.5755292177200317,0.4277273118495941,0.582797646522522,0.4512185752391815,0.4490922540426254,0.4610550105571747,0.5791634321212769,-94.32467470911482,Forward
0.2669336002669336,5.60820657474172,7.575466035202416,183.6709900828142,170.5607035119904,167.31790273329165,195.90031058509405,180.9679119927764,191.5131769457145,"0.504607081413269, 0.4302539825439453","0.3969278931617737, 0.46744251251220703","0.5066957473754883, 0.5281534194946289","0.43205323815345764, 0.5579003095626831","0.49425339698791504, 0.5773481726646423","0.42762261629104614, 0.5843709111213684","0.5173859596252441, 0.7145339250564575","0.4281308650970459, 0.7112452387809753","0.5050084590911865, 0.6151770353317261","0.4773184657096863, 0.6318111419677734","0.5381801724433899, 0.8608868718147278","0.40114814043045044, 0.8415433168411255","0.43821635842323303, 0.4390528202056885",0.504607081413269,0.4302539825439453,0.3969278931617737,0.46744251251220703,0.49425339698791504,0.5773481726646423,0.42762261629104614,0.5843709111213684,0.45076748728752136,0.44884824752807617,0.4609380066394806,0.5808595418930054,-94.40552439727972,Forward
0.3003003003003003,5.722020216151335,7.56302682769302,184.29272100160492,170.58246360489252,167.54938872385418,195.6939200943508,180.83827685092908,191.5221032889213,"0.5044770836830139, 0.4299934506416321","0.39688748121261597, 0.4685788154602051","0.5064411163330078, 0.528638482093811","0.43210434913635254, 0.5587868094444275","0.4945739209651947, 0.5766831040382385","0.42753344774246216, 0.5841679573059082","0.5173555612564087, 0.7138593792915344","0.4274885058403015, 0.7111121416091919","0.5023990273475647, 0.6151497960090637","0.47721630334854126, 0.6327049732208252","0.5383087396621704, 0.8607355356216431","0.40101441740989685, 0.8404642343521118","0.43833041191101074, 0.43917402625083923",0.5044770836830139,0.4299934506416321,0.39688748121261597,0.4685788154602051,0.4945739209651947,0.5766831040382385,0.42753344774246216,0.5841679573059082,0.45068228244781494,0.4492861330509186,0.46105368435382843,0.5804255306720734,-94.52193059173216,Forward
