Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose","x, y Shoulder Spine","x, y Hip Spine",Spine Angle,Leaning
0.0,-10.102678156363408,-37.1840405651017,184.08118709901697,150.6740038674231,169.18198524873128,213.50540084322603,187.19149903207008,176.1072802906373,"0.5713751912117004, 0.3558482527732849","0.4830276370048523, 0.3754521906375885","0.5697282552719116, 0.43693381547927856","0.5130327343940735, 0.4435422420501709","0.5741950273513794, 0.4784979224205017","0.5232901573181152, 0.4812639355659485","0.5887660980224609, 0.601008415222168","0.4976893961429596, 0.5981331467628479","0.5535808205604553, 0.5092014670372009","0.5368812084197998, 0.5068790316581726","0.5947725772857666, 0.7186686992645264","0.47661295533180237, 0.7346240878105164","0.5042262673377991, 0.33381813764572144","0.527, 0.366","0.549, 0.480",-100.6792041794732,Forward
0.0333667000333667,-9.105685032716234,-22.343960183482384,191.2354401681136,166.0366768787356,170.73053518356727,213.1488261682654,186.5722462889778,176.7813567879406,"0.569342851638794, 0.35583123564720154","0.4830546975135803, 0.3707832992076874","0.5626747608184814, 0.4371064603328705","0.5135594010353088, 0.4397779107093811","0.5740163326263428, 0.4801543653011322","0.5235298871994019, 0.48467379808425903","0.5878525972366333, 0.6025866866111755","0.49764785170555115, 0.5996154546737671","0.5499688386917114, 0.5107582211494446","0.5356892943382263, 0.50609290599823","0.5937920808792114, 0.7196363210678101","0.4763635993003845, 0.7350949048995972","0.5042282342910767, 0.3337560296058655","0.526, 0.363","0.549, 0.482",-100.73198377183489,Forward
0.0667334000667334,-6.7962316974815495,-8.694559956432162,196.45083004570927,178.59750405054697,172.22626704306393,212.67065094866032,185.9527311452111,177.18452929049832,"0.5621515512466431, 0.3469849228858948","0.4847610890865326, 0.3656724989414215","0.5567619800567627, 0.4269718527793884","0.5144238471984863, 0.434745728969574","0.5686355233192444, 0.47955912351608276","0.5241580605506897, 0.4836890697479248","0.5870920419692993, 0.6020244359970093","0.497709184885025, 0.596909761428833","0.5465064644813538, 0.5099359750747681","0.5361553430557251, 0.4837653636932373","0.5930924415588379, 0.7198485136032104","0.4762335419654846, 0.7270473837852478","0.5057726502418518, 0.33060064911842346","0.523, 0.356","0.546, 0.482",-100.37543039283055,Forward
0.1001001001001001,-3.309179451287907,3.8020907884877033,199.86542650067665,188.5352998620629,173.66902535762594,212.08589029573977,185.3338204417611,177.34340558248869,"0.5602297782897949, 0.34783846139907837","0.4848146438598633, 0.36605381965637207","0.5584615468978882, 0.4207516610622406","0.5094202756881714, 0.43299049139022827","0.5650284886360168, 0.47922810912132263","0.5244556665420532, 0.483625590801239","0.586104154586792, 0.6023274660110474","0.4971281588077545, 0.5969347953796387","0.5437393188476562, 0.4692873954772949","0.5295581221580505, 0.48743900656700134","0.5927101373672485, 0.7200033068656921","0.4735785126686096, 0.7265273928642273","0.5059093236923218, 0.3335268497467041","0.523, 0.357","0.545, 0.481",-100.1207322308361,Forward
0.1334668001334668,1.220610405236135,15.183922723715938,201.61729930188815,196.02887879248937,175.05865465765797,211.40955932083276,184.716381019619,177.28459344808982,"0.560519814491272, 0.34992682933807373","0.48232245445251465, 0.3663886487483978","0.5586777329444885, 0.4214751720428467","0.5024577379226685, 0.4334307312965393","0.5659185647964478, 0.479606956243515","0.5221579670906067, 0.4837520718574524","0.5857148170471191, 0.6025542616844177","0.49690181016921997, 0.5903024077415466","0.5428009033203125, 0.4827975332736969","0.5229113698005676, 0.5002514123916626","0.5924631357192993, 0.7198885679244995","0.46944180130958557, 0.7146578431129456","0.5052134394645691, 0.33664411306381226","0.521, 0.358","0.544, 0.482",-100.37605515927521,Forward
0.1668335001668335,6.658276571462018,25.48886652169128,201.8445182182165,201.25705532103197,176.39499947356467,210.6566731352681,184.101279719776,177.03470067148,"0.5611159801483154, 0.3510309159755707","0.4822423458099365, 0.3670315146446228","0.555463433265686, 0.4237646460533142","0.49746841192245483, 0.4337911009788513","0.5660842061042786, 0.4800839424133301","0.5181475877761841, 0.4836965501308441","0.5844250917434692, 0.6011632084846497","0.49582844972610474, 0.5907618999481201","0.5386175513267517, 0.4878740906715393","0.5150508284568787, 0.5032159090042114","0.5920537114143372, 0.7195176482200623","0.47313517332077026, 0.7172807455062866","0.5052069425582886, 0.3376655876636505","0.522, 0.359","0.542, 0.482",-99.44427509267247,Forward
0.2002002002002002,12.86895774676118,34.75485285485246,200.6851530185343,204.3986439268965,177.67790433575075,209.84224685037503,183.48938338322316,176.6203350368374,"0.5575317740440369, 0.35508993268013","0.4816091060638428, 0.367191344499588","0.5553487539291382, 0.42348378896713257","0.4907437860965729, 0.4341931939125061","0.5650080442428589, 0.48327165842056274","0.5172091126441956, 0.4854678511619568","0.5842010974884033, 0.601465106010437","0.4949275851249695, 0.5902086496353149","0.5341721773147583, 0.4555935859680176","0.5038174390792847, 0.5012882947921753","0.5916913151741028, 0.7189324498176575","0.4770744740962982, 0.7165817618370056","0.5021209716796875, 0.33757007122039795","0.520, 0.361","0.541, 0.484",-99.91408377450199,Forward
0.2335669002335669,19.717792630505052,43.01981239563821,198.277273471714,205.6324590892888,178.90721377462086,208.98129557748237,182.88155885095165,176.06810432834016,"0.5525902509689331, 0.35959357023239136","0.4819478392601013, 0.36750900745391846","0.545987606048584, 0.43187299370765686","0.4895949363708496, 0.4343351423740387","0.5622645616531372, 0.4836967885494232","0.5137408971786499, 0.4865044057369232","0.5822321176528931, 0.6015116572380066","0.4937666356563568, 0.5963500738143921","0.5190137624740601, 0.4698493480682373","0.49297648668289185, 0.5012080669403076","0.5908400416374207, 0.717972993850708","0.47900858521461487, 0.7158152461051941","0.4970468580722809, 0.3387538194656372","0.517, 0.364","0.538, 0.485",-99.68025025134196,Forward
0.2669336002669336,27.069919922065115,50.32167581648724,194.75894934662816,205.1373152874146,180.08277232057966,208.08883442791907,182.2786729639527,175.40461633016653,"0.5503844022750854, 0.35936638712882996","0.4794061779975891, 0.3702872395515442","0.5419127941131592, 0.4089314937591553","0.4747234880924225, 0.4362010359764099","0.5629211068153381, 0.48832768201828003","0.5138856768608093, 0.4933728575706482","0.5816251039505005, 0.6021221876144409","0.4924422800540924, 0.5988775491714478","0.5162876844406128, 0.4233380854129791","0.46666035056114197, 0.5018253326416016","0.590721070766449, 0.7169521450996399","0.47960329055786133, 0.7160612344741821","0.49287986755371094, 0.3391415476799011","0.515, 0.365","0.538, 0.491",-100.56637226198433,Forward
0.3003003003003003,34.79047832081277,56.69837378983833,190.2682504121495,203.0920270004797,181.20442450403183,207.1798785130142,181.68159256321735,174.65647882649466,"0.5472379922866821, 0.36320966482162476","0.478168785572052, 0.3711422085762024","0.5448052883148193, 0.4449843764305115","0.46847647428512573, 0.43629708886146545","0.5607752799987793, 0.4883360266685486","0.5133911967277527, 0.4932570457458496","0.5804135799407959, 0.6021237373352051","0.49104684591293335, 0.6005146503448486","0.532417356967926, 0.48120132088661194","0.45061641931533813, 0.5017382502555847","0.5905529856681824, 0.716788649559021","0.47940316796302795, 0.7161545157432556","0.49430927634239197, 0.33606499433517456","0.513, 0.367","0.537, 0.491",-101.15642489238397,Forward
