Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Lateral Bending Angle,Leaning
0.0,76.3300605160341,49.670358223303,160.28858806054382,145.18130049379687,134.81719288823876,135.74881305908212,203.6646204847406,197.45785882485112,"0.47204041481018066, 0.4225304126739502","0.4382492005825043, 0.4306560158729553","0.47009605169296265, 0.5093342661857605","0.4447888433933258, 0.5273528695106506","0.38866126537323, 0.5761926174163818","0.3490105867385864, 0.5779622197151184","0.42202502489089966, 0.6845239996910095","0.3862531781196594, 0.7118891477584839","0.4944313168525696, 0.5931587219238281","0.48625415563583374, 0.6048557758331299","0.41470375657081604, 0.8091734051704407","0.36944130063056946, 0.8740188479423523","0.5221847295761108, 0.40549254417419434",-29.8360446226834,Leading Side
0.0333667000333667,53.17279457679558,42.252478473806114,161.84108108628524,150.89773312177704,135.18350185611322,134.0667796893693,201.59110343266715,199.5279709793377,"0.47169893980026245, 0.4223489761352539","0.43841785192489624, 0.4306982457637787","0.47026634216308594, 0.5076587796211243","0.44522109627723694, 0.5270968675613403","0.3890998065471649, 0.5761784315109253","0.3491066098213196, 0.5774006247520447","0.42174774408340454, 0.6846442818641663","0.38598179817199707, 0.7120710015296936","0.4929228723049164, 0.5904034376144409","0.4879523813724518, 0.6053284406661987","0.4142085015773773, 0.8105342984199524","0.36952200531959534, 0.8740487098693848","0.5208956599235535, 0.4054892659187317",-29.770442223479428,Leading Side
0.0667334000667334,34.182435991756776,35.97101592623096,163.31189483133295,155.1012863711964,135.3084722164714,132.78306584846385,200.0322048387192,201.1826891356408,"0.47133737802505493, 0.4223833978176117","0.43910425901412964, 0.4306619167327881","0.4703877866268158, 0.5071719288825989","0.4427717626094818, 0.5244571566581726","0.3890987038612366, 0.5765367746353149","0.3492033779621124, 0.5774027109146118","0.42106539011001587, 0.6847734451293945","0.3859345316886902, 0.7128000855445862","0.492882639169693, 0.5905059576034546","0.4875430166721344, 0.6053057909011841","0.41419729590415955, 0.8111106157302856","0.369552880525589, 0.8740516901016235","0.5203810334205627, 0.4054929316043854",-29.773586459296936,Leading Side
0.1001001001001001,19.08540988587542,30.75623725607883,164.69704672477144,157.90199917872465,135.21688313875492,131.87246177431655,198.9497929235881,202.45135645872764,"0.4713316857814789, 0.4236264228820801","0.4396095275878906, 0.43050679564476013","0.47039300203323364, 0.507207989692688","0.4423668384552002, 0.5237563848495483","0.38909298181533813, 0.5777119398117065","0.34920641779899597, 0.5778959393501282","0.4205563962459564, 0.6853481531143188","0.3858766555786133, 0.7132641077041626","0.49289584159851074, 0.5916542410850525","0.4870336949825287, 0.6051567792892456","0.41474953293800354, 0.8111088871955872","0.369564414024353, 0.8740068674087524","0.5201462507247925, 0.4055233895778656",-29.797945964006768,Leading Side
0.1334668001334668,7.60814138410926,26.53840913885099,165.99255419568524,159.4099104810314,134.93351379240548,131.3097577048781,198.3057359079652,203.3633161135659,"0.47126007080078125, 0.4242997169494629","0.4400031566619873, 0.430685818195343","0.47018879652023315, 0.5068256258964539","0.4417610764503479, 0.523546576499939","0.3890204131603241, 0.5788471698760986","0.3492070734500885, 0.5789018869400024","0.4205641746520996, 0.6857717633247375","0.3858868181705475, 0.713499903678894","0.49125295877456665, 0.5906658172607422","0.48622503876686096, 0.605063796043396","0.4152664542198181, 0.8110688924789429","0.3695666491985321, 0.8739550709724426","0.5200128555297852, 0.40572476387023926",-29.748877637209233,Leading Side
0.1668335001668335,-0.5229443885839942,23.24779825004873,167.19443467315884,159.73505921478633,134.48314334686472,131.06974387809925,198.06190201254196,203.94791126512297,"0.47098836302757263, 0.42633193731307983","0.4399150311946869, 0.43096795678138733","0.4693654179573059, 0.5070778131484985","0.4403180480003357, 0.5219014883041382","0.3888407349586487, 0.5798982977867126","0.34912893176078796, 0.5797997713088989","0.420471727848053, 0.6869920492172241","0.38578665256500244, 0.7137347459793091","0.4893125593662262, 0.5907004475593567","0.4837719798088074, 0.6044900417327881","0.4152751564979553, 0.8111218214035034","0.3695752024650574, 0.8739129900932312","0.5197922587394714, 0.40638795495033264",-29.764127151136247,Leading Side
0.2002002002002002,-5.581422307246569,20.81467126517333,168.29870558627678,158.98748431665908,133.89055097157436,131.12721053193073,198.1801594580096,204.2344850783664,"0.4709963798522949, 0.4265192151069641","0.4398064613342285, 0.4329596161842346","0.46923694014549255, 0.5069702863693237","0.44094714522361755, 0.5262194871902466","0.3884381949901581, 0.579833984375","0.3486942648887634, 0.5804389119148254","0.4211811423301697, 0.6869820356369019","0.3859595060348511, 0.7136139273643494","0.4876951277256012, 0.5905590057373047","0.4822785258293152, 0.6058315634727478","0.4156036972999573, 0.8110089302062988","0.36960336565971375, 0.8732008934020996","0.5185149908065796, 0.406926691532135",-30.00097814890186,Leading Side
0.2335669002335669,-7.840867246920752,19.169294859726072,169.30138436412355,157.27722472331934,133.18051583597602,131.45694790432327,198.62237646505952,204.2523807182635,"0.47064775228500366, 0.42646604776382446","0.4389628767967224, 0.43986764550209045","0.4672928750514984, 0.5064061284065247","0.441000372171402, 0.5362613797187805","0.38819819688796997, 0.5802404284477234","0.348690927028656, 0.583158016204834","0.4247003495693207, 0.6869572401046753","0.3872971534729004, 0.7135429382324219","0.48551416397094727, 0.5885477662086487","0.4823415279388428, 0.6160012483596802","0.4163643717765808, 0.8108633160591125","0.36962592601776123, 0.8721729516983032","0.5166093111038208, 0.40884795784950256",-30.174880826740758,Leading Side
0.2669336002669336,-7.574854082648784,18.24193570920825,170.1984884357837,154.71431937143672,132.37781710951143,132.03374623322762,199.35042125438312,204.03094134978195,"0.47063884139060974, 0.4264378547668457","0.43796563148498535, 0.44076547026634216","0.4664691388607025, 0.5051087737083435","0.43735653162002563, 0.5367484092712402","0.38620463013648987, 0.5798013210296631","0.34842994809150696, 0.5832889676094055","0.4245389401912689, 0.6862013936042786","0.38817286491394043, 0.7135001420974731","0.48406094312667847, 0.5886486172676086","0.477286159992218, 0.6171671152114868","0.41653141379356384, 0.8099328875541687","0.36962616443634033, 0.871909499168396","0.5160263776779175, 0.4103381633758545",-30.453853258904658,Leading Side
0.3003003003003003,-5.056957689472952,17.96286048912113,170.98603523034174,151.40880719768094,131.50723396162218,132.83239575659448,200.32616204667175,203.59951013788915,"0.4708920121192932, 0.42666131258010864","0.43042057752609253, 0.44629091024398804","0.46655845642089844, 0.5051290392875671","0.42914828658103943, 0.5417793393135071","0.38610661029815674, 0.5788618326187134","0.3479348123073578, 0.5831340551376343","0.42558422684669495, 0.6859109401702881","0.38663071393966675, 0.713515043258667","0.4811803698539734, 0.5893839597702026","0.47213712334632874, 0.6197604537010193","0.41832900047302246, 0.8099390864372253","0.3696521818637848, 0.8718008995056152","0.5140121579170227, 0.4116732180118561",-30.05820382696078,Leading Side
0.333667000333667,-0.5607529424354851,18.262335874966,171.66004217688217,147.4707271387216,130.59354556175,133.82768671237457,201.51146706261684,202.9874302475525,"0.4735477864742279, 0.430808961391449","0.42484092712402344, 0.44520998001098633","0.46651777625083923, 0.5098176002502441","0.4131442904472351, 0.5424962639808655","0.385837584733963, 0.5787568092346191","0.3445245921611786, 0.5824570655822754","0.42567935585975647, 0.6891372799873352","0.3849866986274719, 0.7124766111373901","0.4780711531639099, 0.5962957143783569","0.46397605538368225, 0.6207645535469055","0.4184550642967224, 0.8131322860717773","0.36976033449172974, 0.8717023134231567","0.5120846033096313, 0.4128751754760742",-30.505053288141756,Leading Side
0.3670337003670337,5.640185283421303,19.070628542244137,172.2165267044895,143.01011813122838,129.66153107933656,134.9944093385187,202.86820452290968,202.22404484373965,"0.4761049151420593, 0.4321509003639221","0.42291226983070374, 0.44422584772109985","0.4641560912132263, 0.5117253065109253","0.4020947813987732, 0.5420557260513306","0.38596677780151367, 0.5778053998947144","0.3430755138397217, 0.5813383460044861","0.42826709151268005, 0.690280020236969","0.3831079304218292, 0.7121760249137878","0.4702277183532715, 0.5982338190078735","0.4511911869049072, 0.6193982362747192","0.41967684030532837, 0.8135606050491333","0.36996835470199585, 0.8718295097351074","0.5108796954154968, 0.41338977217674255",-31.010619638597795,Leading Side
0.4004004004004004,13.272282113055226,20.31800516645683,172.65150624224827,138.13701911187093,128.73596968382347,136.3073538729775,204.35824264824163,201.33869709141797,"0.4780760407447815, 0.43437886238098145","0.4245273470878601, 0.44253963232040405","0.4609934389591217, 0.515717625617981","0.40543532371520996, 0.5374871492385864","0.38789504766464233, 0.5790715217590332","0.3433338403701782, 0.5813199281692505","0.4292007088661194, 0.6966217756271362","0.3832111954689026, 0.7131431102752686","0.4607495367527008, 0.6004050970077515","0.44254669547080994, 0.6191083192825317","0.419585645198822, 0.8163262605667114","0.3699706494808197, 0.8724297285079956","0.5093502998352051, 0.41325822472572327",-31.155196770025896,Leading Side
