Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,17.497889626478987,8.69892437128242,198.92268756322764,162.06710356690309,169.1142738893844,191.15563680550952,180.05099394115436,181.08748216792006,"0.590, 0.362","0.478, 0.373","0.603, 0.453","0.481, 0.459","0.563, 0.518","0.505, 0.517","0.566, 0.644","0.505, 0.645","0.588, 0.525","0.508, 0.534","0.568, 0.764","0.502, 0.764","0.534, 0.341",Preparation
1,0.033366700033366704,16.337504407738948,8.738893845342723,198.61141578404911,162.06921839542346,171.42965021753074,190.94711503051406,178.86280852720404,181.4606298502177,"0.590, 0.363","0.478, 0.373","0.602, 0.453","0.481, 0.459","0.566, 0.519","0.506, 0.517","0.566, 0.644","0.505, 0.645","0.588, 0.525","0.509, 0.534","0.568, 0.764","0.502, 0.764","0.535, 0.338",Preparation
2,0.06673340006673341,15.955583411803374,8.608242386261134,198.18908983447224,162.07440013184035,171.94989718473687,190.82159395481347,178.61146500277906,181.53417726692012,"0.590, 0.363","0.479, 0.373","0.602, 0.453","0.482, 0.459","0.567, 0.519","0.506, 0.517","0.566, 0.644","0.505, 0.646","0.589, 0.525","0.509, 0.534","0.568, 0.763","0.502, 0.764","0.537, 0.338",Preparation
3,0.1001001001001001,15.480645799178086,8.602312938796711,197.28044517191864,161.98437186555466,172.34269444115486,190.74688506685365,178.37926705485893,181.56408147410522,"0.590, 0.363","0.479, 0.373","0.601, 0.452","0.482, 0.459","0.567, 0.519","0.506, 0.518","0.566, 0.644","0.506, 0.646","0.589, 0.525","0.509, 0.534","0.568, 0.763","0.502, 0.764","0.536, 0.338",Preparation
4,0.13346680013346682,15.11647356339455,8.730386765079329,196.26623580626583,161.93802058421971,172.7581269897453,190.90696420107966,178.199740082047,181.42252773347852,"0.590, 0.363","0.479, 0.373","0.601, 0.451","0.482, 0.459","0.568, 0.519","0.506, 0.518","0.566, 0.644","0.506, 0.645","0.589, 0.524","0.509, 0.534","0.568, 0.763","0.502, 0.765","0.536, 0.340",Preparation
5,0.16683350016683351,14.953264510283413,9.300158120884177,196.753058593735,160.62163332960787,172.6994195846807,190.79475893676934,178.09606701841292,181.5420429720621,"0.590, 0.363","0.479, 0.373","0.600, 0.450","0.481, 0.459","0.568, 0.519","0.506, 0.518","0.566, 0.644","0.506, 0.644","0.588, 0.523","0.509, 0.534","0.569, 0.764","0.503, 0.766","0.534, 0.342",Preparation
6,0.2002002002002002,14.477057190405136,9.333071449845743,198.6225485573702,160.32394217422308,172.6668843967229,190.71615479612126,178.10332190468222,181.97473868101378,"0.590, 0.363","0.478, 0.373","0.600, 0.451","0.480, 0.459","0.568, 0.519","0.506, 0.519","0.566, 0.644","0.506, 0.644","0.584, 0.525","0.509, 0.534","0.569, 0.764","0.503, 0.766","0.532, 0.342",Preparation
7,0.2335669002335669,14.141935278792896,9.127387430572988,198.33056916523773,160.27919298712894,172.67499694273062,190.34969425371656,178.14514723745933,182.64715146790388,"0.590, 0.364","0.477, 0.373","0.599, 0.453","0.480, 0.459","0.568, 0.520","0.505, 0.520","0.566, 0.644","0.507, 0.644","0.584, 0.526","0.509, 0.534","0.569, 0.764","0.503, 0.766","0.530, 0.344",Preparation
8,0.26693360026693363,13.926726872379614,9.254412222636754,197.9287681650281,159.67483482071864,172.4084603907561,189.89602549385634,178.2302465747192,183.18266612226913,"0.590, 0.364","0.477, 0.373","0.599, 0.454","0.479, 0.459","0.567, 0.520","0.505, 0.520","0.566, 0.644","0.507, 0.644","0.583, 0.527","0.509, 0.534","0.569, 0.764","0.503, 0.766","0.527, 0.344",Preparation
9,0.3003003003003003,14.021731140687033,9.15631722929627,198.23884080619618,160.2401811759272,171.86821252642537,189.46993404982234,178.5112679510757,183.53452497068287,"0.590, 0.363","0.476, 0.371","0.599, 0.454","0.479, 0.458","0.567, 0.520","0.505, 0.520","0.566, 0.643","0.507, 0.644","0.582, 0.527","0.509, 0.534","0.569, 0.764","0.503, 0.766","0.527, 0.349",Preparation
