Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,33.14376337423593,39.23027689532056,154.7416602566849,164.61584972774565,131.35622052423506,129.01599440676418,196.6469773365965,208.89077890149565,"0.529, 0.494","0.534, 0.492","0.528, 0.592","0.543, 0.595","0.431, 0.642","0.429, 0.644","0.465, 0.767","0.466, 0.772","0.566, 0.674","0.574, 0.682","0.462, 0.896","0.433, 0.923","0.607, 0.478",Preparation
1,0.033355570380253496,32.31642110003846,39.44755695088321,154.53980739388945,165.05833467067214,131.48185818668003,129.97950285923105,198.10542814743167,206.8578433142826,"0.529, 0.494","0.534, 0.492","0.528, 0.591","0.542, 0.595","0.433, 0.642","0.428, 0.644","0.468, 0.765","0.463, 0.772","0.566, 0.672","0.573, 0.681","0.462, 0.896","0.433, 0.923","0.610, 0.474",Preparation
2,0.06671114076050699,32.36279922675586,39.68413685003148,155.06259632644557,165.5696092452664,131.43229572527508,130.42817333863303,198.52662782693744,205.96914050872516,"0.529, 0.494","0.533, 0.492","0.528, 0.590","0.542, 0.595","0.434, 0.642","0.428, 0.644","0.468, 0.764","0.462, 0.773","0.565, 0.671","0.573, 0.681","0.462, 0.896","0.433, 0.923","0.610, 0.474",Preparation
3,0.1000667111407605,32.31724637067711,39.65776072956093,155.44454162057343,165.99662083002073,131.48371350393822,130.6145010528434,198.34142394604999,205.71794265645335,"0.529, 0.493","0.533, 0.492","0.528, 0.590","0.542, 0.595","0.434, 0.642","0.428, 0.644","0.468, 0.764","0.462, 0.773","0.565, 0.670","0.572, 0.680","0.462, 0.896","0.433, 0.923","0.610, 0.474",Preparation
4,0.13342228152101399,32.34616596582377,39.56831285676127,155.73451833893685,166.1618507544748,131.39270130442537,130.74299956286933,198.39698900834054,205.7676043892545,"0.529, 0.493","0.533, 0.492","0.529, 0.590","0.542, 0.595","0.434, 0.642","0.428, 0.644","0.468, 0.764","0.462, 0.774","0.564, 0.670","0.571, 0.680","0.463, 0.895","0.433, 0.922","0.610, 0.473",Preparation
5,0.1667778519012675,32.59713396748777,39.50849217662446,155.98425775490935,166.23303260004892,131.05315131440622,131.120501274572,198.77644175126983,205.05405329104144,"0.529, 0.493","0.533, 0.492","0.529, 0.590","0.542, 0.595","0.434, 0.641","0.428, 0.644","0.469, 0.764","0.461, 0.774","0.564, 0.669","0.570, 0.679","0.463, 0.895","0.433, 0.922","0.610, 0.473",Preparation
6,0.200133422281521,32.54554088112809,39.30025352732875,155.8727243141496,165.8026455213956,130.7047328703019,131.247403412357,199.20685106672755,204.98783694741584,"0.529, 0.493","0.533, 0.491","0.529, 0.590","0.542, 0.595","0.434, 0.641","0.428, 0.644","0.470, 0.764","0.461, 0.775","0.564, 0.668","0.570, 0.677","0.464, 0.895","0.433, 0.922","0.610, 0.473",Preparation
7,0.2334889926617745,32.70407359492144,38.95149777708575,156.09819206969982,165.65787815052138,130.69669017112466,131.26711103845537,198.87023397232753,205.05918158124794,"0.529, 0.494","0.533, 0.491","0.529, 0.590","0.541, 0.594","0.434, 0.642","0.428, 0.644","0.471, 0.764","0.461, 0.776","0.564, 0.668","0.569, 0.676","0.465, 0.895","0.433, 0.922","0.610, 0.472",Address
8,0.26684456304202797,32.8069599310544,38.834831126994615,156.29974317689388,165.70285071277848,130.73766983162713,131.29165968963756,198.66174225907812,205.1480819959506,"0.529, 0.494","0.533, 0.491","0.529, 0.591","0.541, 0.593","0.434, 0.642","0.428, 0.644","0.471, 0.764","0.461, 0.776","0.563, 0.668","0.568, 0.676","0.466, 0.895","0.433, 0.922","0.610, 0.472",Address
9,0.3002001334222815,31.75483676031237,38.27624879967571,156.47585095973142,165.06240150160184,131.50753677013944,131.29073977714032,197.87599970548484,205.60269874658607,"0.527, 0.494","0.533, 0.491","0.526, 0.589","0.540, 0.591","0.434, 0.642","0.428, 0.644","0.469, 0.764","0.462, 0.776","0.559, 0.666","0.568, 0.675","0.466, 0.895","0.433, 0.922","0.610, 0.472",Address
10,0.333555703802535,32.07712927972693,38.035682920399765,159.5142350919491,164.78001398863577,131.78768778922063,131.41073325332852,197.8526568844159,205.58892604627903,"0.526, 0.493","0.533, 0.491","0.526, 0.589","0.539, 0.590","0.434, 0.642","0.428, 0.644","0.469, 0.764","0.462, 0.776","0.555, 0.666","0.568, 0.674","0.466, 0.895","0.433, 0.922","0.609, 0.471",Address
11,0.3669112741827885,30.773843504157444,38.08623645624314,156.66877561762348,164.93263330696047,132.12082297072735,131.560951103594,197.74354079335865,205.60179292752377,"0.526, 0.493","0.532, 0.490","0.524, 0.589","0.539, 0.590","0.434, 0.642","0.428, 0.644","0.469, 0.764","0.462, 0.776","0.556, 0.665","0.568, 0.673","0.466, 0.894","0.433, 0.922","0.609, 0.471",Address
12,0.400266844563042,31.31811148418369,38.34251234773421,158.22814013356344,165.54880182843877,132.79136176429157,131.69262646281072,197.49894613686183,205.66609375221194,"0.528, 0.493","0.532, 0.490","0.527, 0.590","0.539, 0.590","0.436, 0.642","0.428, 0.644","0.470, 0.767","0.462, 0.778","0.557, 0.665","0.568, 0.673","0.465, 0.895","0.433, 0.922","0.609, 0.470",Address
13,0.4336224149432955,30.263431506652747,38.55109857843024,156.88848803138455,166.21214848382874,133.15804140636925,132.11148827513983,197.68307348366326,205.4901858460871,"0.529, 0.493","0.531, 0.490","0.527, 0.589","0.539, 0.589","0.437, 0.642","0.428, 0.645","0.470, 0.767","0.462, 0.779","0.557, 0.665","0.568, 0.673","0.465, 0.895","0.434, 0.922","0.609, 0.470",Address
14,0.466977985323549,31.55994306539222,38.84713450657299,159.42259481389374,167.02638858220493,133.57623291619151,132.43656628631808,197.61789301954468,205.38166302680114,"0.530, 0.494","0.530, 0.490","0.530, 0.589","0.539, 0.588","0.438, 0.643","0.428, 0.645","0.470, 0.768","0.462, 0.780","0.558, 0.665","0.567, 0.673","0.464, 0.895","0.434, 0.922","0.609, 0.469",Address
15,0.5003335557038024,32.71721634605852,39.716253029173146,162.7332331809768,169.55975551319239,134.77426076861752,132.83101351896272,196.61299828685117,205.0406694384865,"0.535, 0.496","0.528, 0.491","0.536, 0.590","0.539, 0.587","0.442, 0.643","0.427, 0.645","0.471, 0.768","0.461, 0.780","0.560, 0.665","0.565, 0.671","0.463, 0.896","0.434, 0.922","0.609, 0.469",Address
16,0.5336891260840559,32.87655573525098,39.7128210793525,163.23200540090107,170.18783481258973,135.21495459696638,132.9291001601919,196.33247113958745,204.86314781860622,"0.536, 0.497","0.527, 0.491","0.537, 0.590","0.539, 0.587","0.444, 0.643","0.427, 0.645","0.472, 0.768","0.461, 0.780","0.560, 0.663","0.563, 0.670","0.463, 0.896","0.434, 0.922","0.609, 0.469",Address
17,0.5670446964643094,32.51813118763643,39.936826463935304,162.6588156192385,170.73071947554513,134.9088106696567,132.8358552293501,196.5586884849562,205.18391031780683,"0.539, 0.498","0.525, 0.491","0.539, 0.590","0.537, 0.584","0.445, 0.644","0.426, 0.645","0.473, 0.768","0.461, 0.780","0.561, 0.663","0.562, 0.667","0.464, 0.896","0.434, 0.922","0.609, 0.469",Address
18,0.600400266844563,32.34909838259491,40.14067617371705,162.0053325760551,170.90253146412655,134.74055892632973,132.5137856055709,196.38435301085744,205.47419580370354,"0.540, 0.499","0.524, 0.491","0.539, 0.591","0.536, 0.583","0.446, 0.644","0.425, 0.645","0.473, 0.768","0.461, 0.780","0.562, 0.663","0.561, 0.666","0.464, 0.896","0.434, 0.922","0.609, 0.469",Address
19,0.6337558372248165,35.274002674991365,39.94839408689808,166.3612726185432,171.8173262733551,133.64829787641995,131.77819263545553,196.95974067164144,206.04826667765414,"0.542, 0.501","0.524, 0.488","0.544, 0.594","0.535, 0.576","0.446, 0.644","0.424, 0.643","0.473, 0.767","0.461, 0.779","0.564, 0.668","0.558, 0.660","0.463, 0.896","0.434, 0.921","0.608, 0.469",Address
20,0.66711140760507,36.11943426285911,40.251256047933694,167.2035084405725,172.60961383665162,132.31826021314902,131.18977486072765,198.17654621316532,206.4290679037187,"0.543, 0.502","0.523, 0.487","0.546, 0.595","0.535, 0.574","0.446, 0.644","0.423, 0.642","0.475, 0.766","0.461, 0.778","0.565, 0.671","0.557, 0.659","0.463, 0.895","0.434, 0.921","0.607, 0.469",Address
21,0.7004669779853235,34.98970831731062,40.35238818696244,165.86735135106366,171.88975343740265,133.18651884740015,131.53810499055584,198.529216073385,205.76307375927843,"0.543, 0.502","0.523, 0.487","0.545, 0.595","0.535, 0.579","0.448, 0.644","0.423, 0.642","0.476, 0.766","0.460, 0.778","0.565, 0.671","0.560, 0.669","0.463, 0.895","0.434, 0.921","0.607, 0.469",Address
22,0.733822548365577,34.230733042898784,40.443695087898774,165.18908277106166,171.52989356995394,133.53237700948122,131.9330448480681,199.00319624397937,204.9661435499058,"0.543, 0.502","0.523, 0.487","0.544, 0.596","0.535, 0.580","0.449, 0.644","0.423, 0.642","0.477, 0.766","0.459, 0.778","0.566, 0.672","0.561, 0.671","0.463, 0.895","0.435, 0.921","0.607, 0.469",Address
23,0.7671781187458305,35.436536739219136,40.5147063419908,167.38057760547613,170.92387549671565,133.91891888969687,132.5510299389916,198.75348177122962,204.05225789971195,"0.543, 0.502","0.523, 0.487","0.546, 0.596","0.536, 0.581","0.449, 0.644","0.423, 0.642","0.477, 0.766","0.458, 0.780","0.567, 0.676","0.563, 0.672","0.463, 0.894","0.435, 0.921","0.609, 0.469",Address
24,0.800533689126084,36.43019577006372,40.55442104680253,169.04635217723614,170.55728017815255,135.16229524358687,132.1719371144038,195.7991837734305,204.74995923849698,"0.542, 0.502","0.523, 0.487","0.547, 0.596","0.536, 0.581","0.448, 0.644","0.423, 0.642","0.473, 0.766","0.459, 0.780","0.567, 0.676","0.564, 0.672","0.463, 0.894","0.435, 0.921","0.609, 0.469",Address
25,0.8338892595063375,37.57327118519426,41.14421054985406,169.7976412164936,171.49213085900956,135.53880221228906,132.06420638008947,191.8587725368328,205.15193231713414,"0.542, 0.501","0.523, 0.487","0.548, 0.595","0.537, 0.582","0.445, 0.644","0.423, 0.643","0.467, 0.767","0.460, 0.780","0.567, 0.675","0.566, 0.678","0.463, 0.894","0.435, 0.921","0.609, 0.469",Address
26,0.867244829886591,37.755700405141596,41.326919964033465,170.57514071506174,171.5160264525785,135.70263292401637,132.09025697444793,190.72304782121813,205.38382106210594,"0.542, 0.501","0.523, 0.487","0.547, 0.594","0.538, 0.583","0.444, 0.644","0.423, 0.643","0.465, 0.768","0.460, 0.780","0.566, 0.675","0.567, 0.679","0.463, 0.894","0.435, 0.921","0.609, 0.469",Address
27,0.9006004002668445,39.357209477014656,38.83233736918213,174.25926596272578,168.92751188078924,135.3457948914683,132.32385828860757,190.69467229890287,205.5214921611103,"0.543, 0.501","0.523, 0.486","0.551, 0.594","0.533, 0.582","0.444, 0.644","0.423, 0.643","0.466, 0.768","0.460, 0.780","0.566, 0.675","0.563, 0.677","0.464, 0.895","0.435, 0.920","0.609, 0.469",Address
28,0.933955970647098,39.71587892781875,37.59760789740664,175.24184836308063,167.47856352503837,135.1227053423415,132.47602599441998,190.57167044741595,205.53456177007772,"0.545, 0.501","0.522, 0.486","0.552, 0.594","0.531, 0.582","0.445, 0.644","0.423, 0.643","0.466, 0.768","0.460, 0.780","0.566, 0.675","0.561, 0.676","0.465, 0.895","0.435, 0.920","0.609, 0.469",Address
