Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,30.08556232738844,32.144133516294296,158.8473252025402,156.67042961445782,133.0042756446101,134.62978610136273,205.66231404800305,206.14928387089446,"0.483, 0.447","0.483, 0.458","0.489, 0.563","0.487, 0.569","0.389, 0.632","0.377, 0.640","0.433, 0.753","0.414, 0.776","0.523, 0.638","0.527, 0.654","0.420, 0.888","0.384, 0.932","0.549, 0.431",Preparation
1,0.03336113427856547,30.88041847084625,31.63007337381694,161.783208031827,157.7867698138504,132.55727381921886,134.05574919784914,205.96309377080755,206.92920180465467,"0.484, 0.447","0.488, 0.453","0.491, 0.562","0.490, 0.569","0.389, 0.631","0.378, 0.640","0.433, 0.751","0.416, 0.776","0.524, 0.644","0.527, 0.655","0.419, 0.888","0.384, 0.932","0.551, 0.427",Preparation
2,0.06672226855713094,31.402228029165595,31.772843951663067,163.1517457921349,158.77763648930284,132.40860910995204,133.8876571467934,206.00880003528454,207.24953264146316,"0.485, 0.447","0.489, 0.452","0.493, 0.562","0.491, 0.569","0.389, 0.631","0.379, 0.639","0.432, 0.750","0.417, 0.775","0.525, 0.648","0.527, 0.656","0.418, 0.888","0.384, 0.932","0.552, 0.426",Preparation
3,0.1000834028356964,31.72644904782843,32.09054498886889,163.76861980805208,159.68948425212923,132.4582802041181,134.2753006138758,205.908151288771,207.35856697455623,"0.485, 0.447","0.489, 0.452","0.493, 0.561","0.492, 0.570","0.389, 0.631","0.380, 0.639","0.432, 0.750","0.417, 0.775","0.525, 0.647","0.528, 0.658","0.418, 0.888","0.384, 0.932","0.553, 0.425",Preparation
4,0.13344453711426188,31.925269106341165,32.257449246224084,163.97527880880645,160.20041891888016,132.52762266166292,134.49412452292788,205.7560207299059,207.43629732178223,"0.485, 0.447","0.488, 0.453","0.494, 0.561","0.493, 0.571","0.389, 0.631","0.380, 0.639","0.432, 0.750","0.418, 0.775","0.525, 0.646","0.528, 0.659","0.418, 0.887","0.384, 0.932","0.553, 0.425",Preparation
5,0.16680567139282734,32.039878016533905,32.29666352483484,164.352416982825,160.2765879794422,132.58202662931592,134.58700652730266,205.7088370142384,207.39215389376398,"0.485, 0.446","0.488, 0.453","0.494, 0.561","0.493, 0.571","0.389, 0.631","0.380, 0.639","0.432, 0.750","0.418, 0.775","0.525, 0.646","0.528, 0.659","0.418, 0.887","0.384, 0.933","0.555, 0.424",Preparation
6,0.2001668056713928,32.2321404695122,32.34411421835553,164.65094594425315,160.34813408719083,132.59432418609506,134.55578364846602,205.64222351634888,207.46208078449075,"0.485, 0.446","0.488, 0.453","0.495, 0.561","0.493, 0.571","0.389, 0.631","0.380, 0.639","0.432, 0.750","0.418, 0.775","0.525, 0.646","0.528, 0.660","0.418, 0.887","0.384, 0.933","0.555, 0.423",Preparation
7,0.23352793994995827,32.25069082416661,32.35962026598233,164.7328682317569,160.29177543588722,132.64941028572122,134.56180243853413,205.6142410184278,207.4470790030847,"0.485, 0.446","0.488, 0.453","0.495, 0.561","0.493, 0.571","0.389, 0.631","0.380, 0.639","0.432, 0.750","0.418, 0.775","0.525, 0.645","0.529, 0.660","0.418, 0.887","0.384, 0.933","0.555, 0.422",Preparation
8,0.26688907422852376,32.461895208060476,32.33663472414452,165.1125906539736,160.17711163491666,132.6601738907766,134.51278008408198,205.6005496173788,207.46611667162668,"0.485, 0.447","0.488, 0.453","0.495, 0.560","0.493, 0.571","0.389, 0.631","0.380, 0.639","0.432, 0.750","0.418, 0.775","0.526, 0.645","0.529, 0.660","0.418, 0.887","0.384, 0.933","0.555, 0.422",Preparation
9,0.3002502085070892,32.51375169744026,32.18722651273243,165.07382181032997,159.94315133107466,132.60792552323198,134.4907603567085,205.59082533231327,207.46074243655193,"0.486, 0.447","0.488, 0.453","0.495, 0.561","0.492, 0.570","0.389, 0.631","0.380, 0.639","0.432, 0.750","0.418, 0.776","0.526, 0.645","0.529, 0.660","0.418, 0.888","0.384, 0.933","0.555, 0.422",Preparation
10,0.3336113427856547,32.7169705921601,32.12755192740077,165.37299085668843,159.79126898985908,132.49192193395828,134.5144541379689,205.7379149150799,207.31403281627237,"0.486, 0.447","0.488, 0.453","0.496, 0.561","0.492, 0.569","0.389, 0.631","0.380, 0.639","0.432, 0.750","0.417, 0.776","0.526, 0.645","0.529, 0.660","0.418, 0.888","0.384, 0.934","0.555, 0.422",Preparation
11,0.36697247706422015,32.74019153896971,32.055429473383406,165.29102662066504,159.6710750763344,132.41532918895214,134.51460911406696,205.76574337452246,207.3104143463894,"0.486, 0.447","0.488, 0.453","0.496, 0.561","0.492, 0.569","0.389, 0.631","0.380, 0.639","0.432, 0.750","0.417, 0.776","0.526, 0.645","0.529, 0.660","0.418, 0.888","0.384, 0.934","0.555, 0.422",Preparation
12,0.4003336113427856,32.027836976541614,32.38291284077062,164.40738709510865,160.40600203474517,132.6681185453188,134.35351231135914,205.0542876588105,206.80198486718214,"0.487, 0.448","0.488, 0.453","0.495, 0.563","0.492, 0.569","0.390, 0.631","0.379, 0.638","0.432, 0.751","0.416, 0.776","0.526, 0.649","0.527, 0.659","0.419, 0.889","0.384, 0.933","0.554, 0.422",Preparation
13,0.433694745621351,31.491567109265016,32.58263598939058,163.69916506345274,160.71856846640236,132.9676406489822,134.27675610191622,204.43488346896183,206.32357721027185,"0.488, 0.448","0.488, 0.453","0.495, 0.564","0.492, 0.569","0.391, 0.631","0.379, 0.637","0.433, 0.752","0.416, 0.776","0.526, 0.652","0.526, 0.658","0.419, 0.891","0.384, 0.933","0.552, 0.422",Preparation
14,0.46705587989991654,31.194532580902067,32.73512434455832,163.22921990431902,160.84855712666084,133.20421070783527,134.17785534633762,203.99717549330933,205.9910756541871,"0.488, 0.449","0.488, 0.453","0.495, 0.565","0.491, 0.569","0.391, 0.631","0.378, 0.636","0.433, 0.753","0.415, 0.776","0.526, 0.653","0.525, 0.658","0.420, 0.892","0.384, 0.933","0.551, 0.422",Preparation
15,0.5004170141784821,30.86946222017971,32.707707806875206,162.81240063965782,160.8981760299488,133.49617935691094,134.24647006161445,203.66718645124215,205.71620544715037,"0.489, 0.449","0.488, 0.453","0.494, 0.565","0.491, 0.568","0.392, 0.631","0.378, 0.636","0.433, 0.753","0.415, 0.776","0.526, 0.653","0.525, 0.658","0.420, 0.892","0.384, 0.933","0.550, 0.422",Preparation
16,0.5337781484570475,30.68533889691225,32.7209803529641,162.48305112228678,160.85276581352645,133.69458450721865,134.33159666508212,203.39870152350312,205.3958632134088,"0.489, 0.449","0.488, 0.453","0.494, 0.566","0.491, 0.568","0.392, 0.631","0.378, 0.635","0.433, 0.754","0.414, 0.776","0.526, 0.653","0.525, 0.657","0.420, 0.893","0.384, 0.933","0.550, 0.422",Preparation
17,0.567139282735613,30.553461314312507,32.6980759675965,162.2392244251808,160.75593833570682,133.77092507657935,134.33623928541016,203.22887993958926,205.27134739294803,"0.489, 0.449","0.488, 0.453","0.494, 0.566","0.491, 0.568","0.392, 0.630","0.377, 0.635","0.433, 0.754","0.414, 0.776","0.526, 0.653","0.525, 0.657","0.420, 0.893","0.384, 0.933","0.549, 0.422",Preparation
18,0.6005004170141784,30.44640135660769,32.73142114449406,161.9708565233228,160.71270815377366,133.7548111960964,134.2932749133755,203.1439860259934,205.1776999957975,"0.490, 0.449","0.488, 0.453","0.494, 0.566","0.491, 0.568","0.393, 0.630","0.377, 0.635","0.433, 0.754","0.414, 0.776","0.526, 0.653","0.525, 0.657","0.421, 0.893","0.384, 0.932","0.549, 0.422",Preparation
19,0.6338615512927439,30.368392442136642,32.757218455245315,161.78186764147088,160.7001756849437,133.68910711094054,134.2070042437381,203.16578440642058,205.20125374414255,"0.490, 0.449","0.488, 0.453","0.494, 0.566","0.491, 0.568","0.393, 0.630","0.377, 0.635","0.433, 0.754","0.413, 0.776","0.526, 0.652","0.524, 0.657","0.421, 0.893","0.384, 0.932","0.549, 0.422",Preparation
20,0.6672226855713094,30.36007143483609,32.71964461827765,161.77136554030128,160.6166916112395,133.65375609646028,134.19128544287562,203.15732240215644,205.2139200938927,"0.490, 0.449","0.488, 0.453","0.494, 0.566","0.491, 0.568","0.393, 0.630","0.377, 0.635","0.433, 0.754","0.413, 0.776","0.526, 0.652","0.524, 0.657","0.421, 0.893","0.384, 0.932","0.549, 0.422",Preparation
