Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,2.4606460223579223,20.244973581052655,174.08424863066705,155.47103065100052,136.37343489248687,147.69234229382684,209.36333959370336,202.7597184210043,"0.417, 0.330","0.465, 0.345","0.372, 0.457","0.456, 0.494","0.324, 0.559","0.364, 0.574","0.394, 0.734","0.391, 0.752","0.337, 0.599","0.497, 0.602","0.371, 0.906","0.343, 0.940","0.547, 0.296",Preparation
1,0.033366700033366704,0.05534794227233316,20.163867052893657,165.38462053826237,155.99865947034587,138.79274283749285,148.19887987056515,209.09136179992103,202.1181371416871,"0.418, 0.328","0.466, 0.345","0.373, 0.447","0.456, 0.493","0.332, 0.559","0.364, 0.574","0.397, 0.730","0.388, 0.752","0.360, 0.571","0.496, 0.601","0.371, 0.903","0.340, 0.945","0.543, 0.297",Preparation
2,0.06673340006673341,1.5331297009083513,19.474553052038008,166.31865579858984,155.29243036549147,139.09714253201366,150.26348405258622,207.72866748935616,199.0421193203889,"0.419, 0.328","0.467, 0.345","0.369, 0.450","0.456, 0.492","0.331, 0.559","0.365, 0.575","0.394, 0.729","0.384, 0.755","0.350, 0.575","0.495, 0.596","0.372, 0.901","0.338, 0.948","0.542, 0.298",Preparation
3,0.1001001001001001,2.1476182375394233,19.3305126996848,165.83158066986368,155.99603025955258,140.30710176822626,150.76211429895162,205.7284104764631,197.87462657520086,"0.420, 0.328","0.468, 0.345","0.367, 0.452","0.456, 0.490","0.333, 0.558","0.365, 0.575","0.392, 0.729","0.381, 0.756","0.348, 0.580","0.491, 0.591","0.372, 0.900","0.338, 0.949","0.541, 0.302",Preparation
4,0.13346680013346682,9.696445550228958,19.549809422226627,144.89308316645239,156.21589967763558,143.02346961789166,150.70810454809575,203.73833260288404,197.1541244997096,"0.422, 0.328","0.468, 0.345","0.400, 0.453","0.456, 0.490","0.340, 0.559","0.364, 0.575","0.392, 0.728","0.380, 0.757","0.448, 0.555","0.491, 0.592","0.373, 0.899","0.338, 0.949","0.541, 0.302",Preparation
5,0.16683350016683351,13.858474062074325,19.67317282713133,148.06917771688296,156.6193346663133,145.1887744932997,150.52223257423452,202.52136852956804,197.3694746404104,"0.425, 0.328","0.468, 0.345","0.414, 0.456","0.456, 0.490","0.346, 0.559","0.364, 0.575","0.393, 0.727","0.380, 0.755","0.465, 0.558","0.491, 0.594","0.373, 0.899","0.338, 0.949","0.540, 0.302",Preparation
6,0.2002002002002002,13.796139786436896,19.56535463021123,146.88431060954804,156.5021620219968,144.44891733945113,150.61131053277387,202.99631398122725,197.13928857658146,"0.425, 0.328","0.468, 0.346","0.412, 0.462","0.456, 0.491","0.344, 0.560","0.364, 0.577","0.393, 0.727","0.380, 0.756","0.460, 0.553","0.491, 0.595","0.373, 0.899","0.340, 0.948","0.539, 0.302",Preparation
7,0.2335669002335669,3.653204641884889,19.85669919046996,157.67127033451393,156.29804949501442,144.09832206866477,150.25417483940907,203.84900466277537,197.10843101915236,"0.426, 0.328","0.468, 0.345","0.391, 0.453","0.456, 0.492","0.345, 0.559","0.364, 0.575","0.395, 0.726","0.380, 0.756","0.403, 0.559","0.493, 0.597","0.373, 0.899","0.341, 0.947","0.539, 0.303",Preparation
8,0.26693360026693363,1.0817083464452844,19.55837386999193,161.20213424666815,155.24328285999243,143.24793510091652,150.0432609472871,204.24915165479894,198.09483003494083,"0.426, 0.327","0.469, 0.344","0.379, 0.452","0.456, 0.492","0.345, 0.557","0.365, 0.573","0.396, 0.723","0.384, 0.755","0.376, 0.562","0.495, 0.599","0.375, 0.899","0.342, 0.946","0.539, 0.303",Preparation
9,0.3003003003003003,5.465867732926165,19.134485911325584,163.89200949403104,154.38125972681252,143.06841533279248,150.56740391761628,203.91386511144893,198.03496403030513,"0.426, 0.327","0.469, 0.344","0.368, 0.451","0.456, 0.493","0.344, 0.556","0.368, 0.572","0.396, 0.723","0.386, 0.755","0.349, 0.570","0.497, 0.600","0.375, 0.899","0.344, 0.946","0.540, 0.303",Preparation
