Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,23.22056813035899,36.005400786177184,146.60612575101186,161.86368488190047,141.55556705152068,136.33978854429193,195.3134731545352,199.57255435186644,"0.521, 0.422","0.529, 0.438","0.514, 0.545","0.539, 0.565","0.428, 0.608","0.420, 0.616","0.461, 0.762","0.455, 0.774","0.565, 0.632","0.575, 0.650","0.451, 0.927","0.432, 0.952","0.612, 0.413",Preparation
1,0.033366700033366704,23.327321062643623,35.908555499749596,147.2780151676656,163.22725525598707,142.51738673680237,137.6436107004034,194.50724218955972,199.41325033039516,"0.521, 0.422","0.528, 0.438","0.514, 0.547","0.540, 0.566","0.428, 0.610","0.422, 0.619","0.458, 0.762","0.455, 0.774","0.565, 0.634","0.576, 0.653","0.449, 0.927","0.432, 0.952","0.613, 0.412",Preparation
2,0.06673340006673341,22.48662719263253,35.72339697125828,145.90368656437408,164.0030073097892,143.64177380079144,139.07463337068424,193.97423699048574,198.78789126295075,"0.518, 0.422","0.528, 0.440","0.512, 0.547","0.541, 0.568","0.428, 0.611","0.424, 0.621","0.457, 0.763","0.455, 0.775","0.564, 0.634","0.576, 0.654","0.449, 0.926","0.432, 0.951","0.613, 0.412",Preparation
3,0.1001001001001001,22.50041671097136,35.516617911002534,146.11205597903697,164.43994038564912,144.32334921210486,140.05063018921336,193.4359515639304,198.45568576137555,"0.517, 0.422","0.527, 0.440","0.512, 0.548","0.542, 0.569","0.428, 0.613","0.425, 0.623","0.456, 0.764","0.455, 0.776","0.564, 0.634","0.576, 0.655","0.448, 0.926","0.432, 0.951","0.613, 0.412",Preparation
4,0.13346680013346682,20.807657447841223,35.26709082947308,142.77360849398792,164.96581154526842,144.46203344617703,141.13984189900114,193.47737319977887,198.04840017559093,"0.516, 0.422","0.527, 0.441","0.507, 0.548","0.542, 0.570","0.427, 0.614","0.427, 0.625","0.456, 0.764","0.455, 0.777","0.564, 0.635","0.577, 0.655","0.448, 0.926","0.432, 0.952","0.613, 0.412",Preparation
5,0.16683350016683351,20.467085863257847,35.302813523505776,141.84428575130858,165.48519927551678,144.0351381343894,141.694472368807,193.79564702080333,197.7460746853901,"0.515, 0.422","0.526, 0.442","0.506, 0.548","0.542, 0.570","0.426, 0.615","0.428, 0.626","0.455, 0.765","0.455, 0.778","0.564, 0.635","0.577, 0.656","0.448, 0.925","0.432, 0.952","0.613, 0.412",Preparation
6,0.2002002002002002,19.667416856792165,35.38999184652175,140.47894816634675,165.725653062229,144.145250601149,141.90290754510818,193.7317870063274,197.75080026926395,"0.515, 0.422","0.525, 0.442","0.504, 0.548","0.542, 0.570","0.426, 0.615","0.428, 0.626","0.456, 0.765","0.455, 0.778","0.564, 0.635","0.577, 0.656","0.448, 0.925","0.432, 0.952","0.613, 0.412",Preparation
7,0.2335669002335669,19.875745140977124,35.43745540742951,140.87814557081023,165.63759332543836,144.05000891613403,141.8034496412061,193.73697992392354,197.80565142862997,"0.515, 0.422","0.525, 0.442","0.504, 0.548","0.542, 0.570","0.426, 0.615","0.428, 0.626","0.456, 0.765","0.455, 0.778","0.564, 0.635","0.577, 0.656","0.449, 0.925","0.432, 0.951","0.613, 0.412",Preparation
8,0.26693360026693363,21.05133543145358,35.691174387611575,142.56167509837618,165.88558508329595,143.79804037592933,141.75659572762615,194.18783855325083,197.8727368571953,"0.515, 0.422","0.525, 0.443","0.507, 0.549","0.542, 0.570","0.426, 0.615","0.428, 0.626","0.456, 0.765","0.455, 0.778","0.565, 0.636","0.577, 0.656","0.449, 0.925","0.432, 0.952","0.613, 0.412",Preparation
9,0.3003003003003003,22.344133975717376,35.86315559928228,144.64567941285443,166.09060313816798,143.53027869778418,141.5035221264181,194.59775072688606,198.1908928139769,"0.515, 0.422","0.525, 0.443","0.510, 0.550","0.542, 0.570","0.426, 0.615","0.427, 0.626","0.457, 0.765","0.455, 0.778","0.566, 0.637","0.577, 0.656","0.449, 0.924","0.432, 0.951","0.613, 0.412",Preparation
10,0.33366700033366703,23.623752515939234,36.04511942087724,146.8606129847269,166.38076452995796,143.14422105554624,141.26647401105697,195.13422977646675,198.53526301966872,"0.515, 0.423","0.524, 0.443","0.513, 0.550","0.542, 0.570","0.426, 0.616","0.427, 0.626","0.458, 0.765","0.455, 0.778","0.566, 0.637","0.576, 0.656","0.449, 0.923","0.431, 0.951","0.614, 0.411",Preparation
11,0.3670337003670337,24.145241769963878,36.25357519899957,147.79817613559092,166.70138819415723,142.95893669490144,141.1569901229975,195.349653909843,198.85769350894128,"0.515, 0.423","0.524, 0.444","0.514, 0.551","0.542, 0.570","0.426, 0.616","0.426, 0.626","0.458, 0.765","0.455, 0.778","0.566, 0.637","0.576, 0.656","0.449, 0.923","0.431, 0.951","0.614, 0.411",Preparation
12,0.4004004004004004,25.013733983370894,37.0469533014125,150.23221182581028,167.1471502391197,143.966793299991,140.77824455208273,194.14490813202826,200.48482145756142,"0.517, 0.425","0.523, 0.447","0.517, 0.553","0.542, 0.575","0.429, 0.616","0.426, 0.627","0.458, 0.766","0.455, 0.779","0.566, 0.638","0.576, 0.660","0.450, 0.924","0.426, 0.952","0.614, 0.411",Preparation
