Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,11.108998146179786,6.564540716509557,212.85815977344367,171.77564685230527,167.54632337412392,197.19695459559804,184.42600879972696,173.71484639843575,"0.532, 0.362","0.421, 0.379","0.535, 0.450","0.431, 0.471","0.509, 0.507","0.450, 0.504","0.518, 0.642","0.440, 0.626","0.494, 0.520","0.452, 0.554","0.516, 0.773","0.443, 0.759","0.457, 0.353",Preparation
1,0.033366700033366704,11.454137202106258,6.822336728078006,210.14270331978508,170.55964900749376,168.4148445152365,196.06832231185965,184.26981129255572,176.24319166890194,"0.530, 0.359","0.421, 0.379","0.535, 0.447","0.431, 0.473","0.509, 0.506","0.450, 0.505","0.518, 0.641","0.443, 0.631","0.500, 0.517","0.454, 0.557","0.516, 0.776","0.444, 0.764","0.455, 0.352",Preparation
2,0.06673340006673341,10.245912881484513,7.566230019720627,208.89818958581125,170.3512566357903,170.9794459729026,197.71239161791476,183.2179550577444,175.39124469131477,"0.528, 0.356","0.421, 0.379","0.534, 0.446","0.431, 0.472","0.511, 0.503","0.452, 0.505","0.518, 0.640","0.443, 0.632","0.501, 0.516","0.455, 0.557","0.516, 0.777","0.444, 0.766","0.457, 0.352",Preparation
3,0.1001001001001001,9.36811114012318,7.523263714105788,205.04665433307673,169.26111246729275,172.1196956008148,197.9481284837259,182.73770257044637,175.489302078668,"0.525, 0.356","0.421, 0.379","0.531, 0.444","0.432, 0.472","0.511, 0.502","0.452, 0.505","0.518, 0.640","0.443, 0.634","0.505, 0.511","0.458, 0.557","0.517, 0.777","0.444, 0.769","0.459, 0.349",Preparation
4,0.13346680013346682,6.786569739339509,8.353219202036742,197.86756477703935,170.12903264603452,172.46404326197546,199.6004440286794,182.28989124143496,175.1934083713477,"0.525, 0.356","0.421, 0.379","0.527, 0.452","0.432, 0.472","0.512, 0.494","0.454, 0.498","0.518, 0.634","0.443, 0.631","0.505, 0.528","0.458, 0.557","0.518, 0.775","0.444, 0.768","0.460, 0.349",Preparation
5,0.16683350016683351,6.392256851610804,7.796255379437997,194.86431116338832,169.97544694583425,170.26978027705061,198.91913509635006,183.5240556511568,175.60062257969562,"0.524, 0.356","0.421, 0.380","0.524, 0.450","0.432, 0.472","0.509, 0.495","0.453, 0.498","0.518, 0.635","0.443, 0.632","0.504, 0.527","0.458, 0.554","0.518, 0.776","0.444, 0.768","0.460, 0.349",Preparation
6,0.2002002002002002,5.433355426825593,7.3356466122938215,193.32194461188436,171.23891155853215,170.7813404095896,198.87783862964855,183.13635953742724,176.31851997317648,"0.524, 0.356","0.421, 0.379","0.523, 0.450","0.433, 0.470","0.510, 0.496","0.453, 0.499","0.517, 0.636","0.444, 0.631","0.504, 0.527","0.458, 0.553","0.518, 0.776","0.444, 0.768","0.461, 0.350",Preparation
7,0.2335669002335669,5.574176286318032,6.445913067640796,193.65676905883387,172.57561566397064,170.9078826773006,198.44750533958359,183.1619914068792,177.3550765851218,"0.524, 0.356","0.421, 0.379","0.524, 0.449","0.434, 0.469","0.510, 0.496","0.453, 0.499","0.517, 0.637","0.446, 0.630","0.504, 0.526","0.458, 0.550","0.517, 0.777","0.444, 0.767","0.461, 0.346",Preparation
8,0.26693360026693363,1.7644486813045168,5.3035752441310215,186.47765660665235,175.09971603497277,171.23775868675284,199.72048780317735,182.79436623789536,175.89343277828866,"0.524, 0.356","0.419, 0.378","0.517, 0.451","0.435, 0.468","0.510, 0.497","0.453, 0.499","0.517, 0.638","0.444, 0.631","0.502, 0.531","0.458, 0.550","0.517, 0.777","0.444, 0.764","0.461, 0.347",Preparation
9,0.3003003003003003,0.4702025697735918,4.253041487053368,182.7806749745398,177.04192112484,171.8018543991241,200.21168981859643,182.67267869557412,175.3151962990305,"0.523, 0.354","0.418, 0.378","0.513, 0.450","0.437, 0.468","0.510, 0.497","0.453, 0.500","0.517, 0.638","0.443, 0.631","0.501, 0.530","0.458, 0.550","0.517, 0.776","0.444, 0.762","0.462, 0.347",Preparation
