Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,31.480777519119112,11.95117952764467,226.65414384977032,172.6954494245473,177.80480408585836,199.44047053064577,179.18831053827233,179.0862126203336,"0.526, 0.394","0.421, 0.408","0.560, 0.458","0.430, 0.488","0.517, 0.535","0.463, 0.537","0.514, 0.659","0.460, 0.660","0.541, 0.512","0.447, 0.562","0.514, 0.771","0.460, 0.765","0.458, 0.378",Preparation
1,0.033366700033366704,32.96213596651707,12.358585423645835,228.61239794133584,171.74131398938943,176.52949837496013,198.65934086059704,179.57117794758338,179.24500818830163,"0.525, 0.394","0.421, 0.407","0.560, 0.458","0.429, 0.487","0.514, 0.536","0.463, 0.537","0.512, 0.659","0.460, 0.658","0.538, 0.517","0.447, 0.562","0.511, 0.770","0.460, 0.765","0.458, 0.378",Preparation
2,0.06673340006673341,33.696795544939945,12.350615481664331,230.86021753698253,171.5182817012949,176.59457323436607,198.60941986392197,180.05603079404253,178.91530914338924,"0.525, 0.394","0.421, 0.407","0.560, 0.458","0.429, 0.488","0.513, 0.536","0.463, 0.537","0.511, 0.660","0.460, 0.659","0.536, 0.517","0.447, 0.565","0.508, 0.769","0.460, 0.765","0.459, 0.378",Preparation
3,0.1001001001001001,33.93546650951403,12.236886914652393,231.43553380663656,171.46908206143357,177.15876518214807,199.01120255443556,181.49003993416488,178.8554963796556,"0.524, 0.394","0.421, 0.407","0.560, 0.456","0.429, 0.488","0.514, 0.536","0.463, 0.537","0.511, 0.660","0.461, 0.658","0.537, 0.515","0.449, 0.565","0.506, 0.767","0.460, 0.765","0.460, 0.378",Preparation
4,0.13346680013346682,34.21352438740114,12.35003868915286,231.73204419913603,171.4351433349354,177.60119385525678,199.00172782791054,181.88078556020153,178.90736531781826,"0.523, 0.391","0.421, 0.406","0.560, 0.454","0.429, 0.488","0.513, 0.535","0.463, 0.536","0.510, 0.656","0.461, 0.656","0.537, 0.514","0.449, 0.565","0.504, 0.765","0.460, 0.765","0.461, 0.377",Preparation
5,0.16683350016683351,34.27494972349241,12.49427280750498,231.69300851506895,171.77311946155547,178.3614439589328,199.19222697076947,182.02857875274054,178.90379039068821,"0.522, 0.389","0.421, 0.406","0.560, 0.453","0.429, 0.488","0.514, 0.534","0.463, 0.534","0.510, 0.654","0.461, 0.654","0.537, 0.514","0.448, 0.566","0.502, 0.763","0.460, 0.765","0.461, 0.377",Preparation
6,0.2002002002002002,34.61692292744169,12.017667271989614,232.1206858338153,171.89602767598743,178.15569404831908,198.2101690278576,183.71928368678607,179.89830699520434,"0.523, 0.389","0.421, 0.406","0.560, 0.452","0.429, 0.488","0.513, 0.534","0.462, 0.534","0.509, 0.654","0.460, 0.654","0.537, 0.512","0.448, 0.566","0.498, 0.764","0.459, 0.766","0.461, 0.372",Preparation
7,0.2335669002335669,35.13513317334043,11.860656491076204,231.8805278884657,171.2554548397095,177.8786294817246,197.79553795717186,183.79540315718023,179.981954823823,"0.524, 0.389","0.422, 0.406","0.561, 0.451","0.429, 0.488","0.513, 0.534","0.462, 0.535","0.509, 0.654","0.460, 0.656","0.539, 0.507","0.448, 0.562","0.498, 0.764","0.459, 0.767","0.461, 0.369",Preparation
8,0.26693360026693363,35.58655157898787,12.039266280442915,231.70815988362355,170.59432018532578,177.9802771312043,197.87726906099766,183.84693891507146,178.62700884708497,"0.524, 0.388","0.422, 0.406","0.561, 0.449","0.429, 0.487","0.513, 0.532","0.462, 0.533","0.509, 0.652","0.460, 0.654","0.540, 0.506","0.448, 0.560","0.497, 0.764","0.462, 0.767","0.461, 0.377",Preparation
9,0.3003003003003003,34.788441516486365,12.261604983413292,230.70848985097453,171.0822700430136,179.3161735288499,199.3062413876767,183.02579558597674,178.079247421767,"0.524, 0.387","0.422, 0.405","0.561, 0.449","0.430, 0.486","0.515, 0.529","0.463, 0.532","0.509, 0.649","0.461, 0.652","0.540, 0.506","0.449, 0.559","0.496, 0.764","0.462, 0.767","0.460, 0.380",Preparation
