Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,160.56264406618246,172.4449466731381,188.65177537691156,184.89690998879846,6.197847804433658,6.358311268086308,177.20959126133508,178.64846614551539,"0.118, 0.349","0.101, 0.350","0.151, 0.395","0.124, 0.401","0.077, 0.200","0.058, 0.210","0.128, 0.330","0.115, 0.343","0.184, 0.463","0.144, 0.460","0.183, 0.448","0.165, 0.453","0.128, 0.373",Preparation
1,0.033366700033366704,193.80500401192273,178.5379151576858,185.3989883606021,181.990558458442,6.435419684692927,7.5520404910706596,176.90798389304075,179.13036557482255,"0.118, 0.351","0.101, 0.350","0.120, 0.393","0.117, 0.401","0.077, 0.202","0.060, 0.210","0.129, 0.332","0.118, 0.342","0.117, 0.430","0.130, 0.447","0.183, 0.448","0.169, 0.452","0.132, 0.375",Preparation
2,0.06673340006673341,197.4831735972554,197.8073098424509,135.98841993930893,161.350269840543,5.241267240603481,5.328142609492995,176.30825448077118,194.02839327016986,"0.124, 0.351","0.100, 0.354","0.123, 0.392","0.100, 0.403","0.083, 0.200","0.053, 0.212","0.132, 0.332","0.110, 0.342","0.162, 0.436","0.115, 0.445","0.185, 0.449","0.127, 0.445","0.137, 0.383",Preparation
3,0.1001001001001001,193.9038309873861,190.67233554874213,153.73204707999653,164.9715689111347,6.251065645057461,7.108338037976124,176.5188480686025,187.29984338562863,"0.121, 0.352","0.100, 0.353","0.122, 0.393","0.105, 0.401","0.082, 0.201","0.057, 0.211","0.132, 0.333","0.115, 0.341","0.144, 0.436","0.121, 0.440","0.185, 0.449","0.146, 0.445","0.137, 0.382",Preparation
4,0.13346680013346682,213.40608990489292,188.22452278119061,164.88103542404994,170.32285111568967,7.460661793354455,6.546927708875894,176.3503918373325,186.57205760048927,"0.117, 0.348","0.101, 0.348","0.103, 0.387","0.108, 0.388","0.082, 0.201","0.058, 0.211","0.133, 0.336","0.116, 0.341","0.099, 0.430","0.124, 0.436","0.185, 0.449","0.149, 0.446","0.135, 0.377",Preparation
5,0.16683350016683351,219.340205842388,189.40014599164357,165.57839589882144,175.2646144475554,10.526415369989657,6.212883477664514,176.8836045121469,181.4187619819372,"0.108, 0.348","0.103, 0.346","0.087, 0.388","0.108, 0.385","0.080, 0.202","0.060, 0.210","0.133, 0.337","0.117, 0.341","0.076, 0.433","0.119, 0.436","0.184, 0.449","0.161, 0.449","0.133, 0.374",Preparation
6,0.2002002002002002,210.75146924734048,190.11203116474212,159.50902231703566,171.99049866494403,9.983007039702072,6.241091080642894,177.00699623916245,184.00499873225556,"0.109, 0.347","0.103, 0.347","0.096, 0.386","0.108, 0.387","0.080, 0.202","0.060, 0.210","0.133, 0.338","0.117, 0.341","0.097, 0.434","0.122, 0.436","0.183, 0.449","0.155, 0.446","0.132, 0.372",Preparation
7,0.2335669002335669,214.7283525651177,189.31720460308352,165.4499576626091,167.8316902601153,10.245665220950126,6.663722411867801,177.78272157936792,194.19221559940104,"0.110, 0.348","0.099, 0.349","0.093, 0.386","0.105, 0.388","0.081, 0.201","0.056, 0.211","0.135, 0.338","0.114, 0.341","0.086, 0.433","0.123, 0.436","0.183, 0.451","0.133, 0.447","0.131, 0.373",Preparation
8,0.26693360026693363,210.12885326953364,188.61040773111665,169.6566883158477,159.0008996793136,10.185054974504029,7.813141466361947,177.3950404903494,195.07811104710913,"0.111, 0.349","0.095, 0.351","0.097, 0.389","0.101, 0.390","0.084, 0.201","0.054, 0.212","0.136, 0.340","0.113, 0.343","0.089, 0.435","0.127, 0.438","0.184, 0.454","0.131, 0.450","0.130, 0.374",Preparation
9,0.3003003003003003,214.85453742688276,177.06858127622212,171.67489189516314,167.90435573197541,7.850343640647529,8.927878113832737,176.33737307737658,199.66731617683982,"0.118, 0.350","0.089, 0.356","0.100, 0.391","0.101, 0.392","0.088, 0.200","0.051, 0.213","0.137, 0.340","0.108, 0.343","0.088, 0.436","0.127, 0.438","0.185, 0.454","0.116, 0.450","0.130, 0.381",Preparation
