Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,19.014750503278343,32.25490947686532,169.11389710431936,172.7873925464317,142.11545580057663,136.82814144942006,195.35221784763584,197.3802313574305,"0.528, 0.404","0.502, 0.437","0.516, 0.500","0.504, 0.554","0.440, 0.586","0.407, 0.593","0.467, 0.713","0.437, 0.737","0.523, 0.593","0.515, 0.636","0.460, 0.838","0.420, 0.907","0.591, 0.406",Preparation
1,0.033366700033366704,19.04308541658662,32.4421290950652,169.17447675797627,172.67885951825957,141.417077360496,136.65803437449276,195.38070514290916,197.50643622920623,"0.527, 0.405","0.501, 0.439","0.516, 0.500","0.504, 0.554","0.439, 0.586","0.407, 0.595","0.468, 0.712","0.437, 0.738","0.522, 0.592","0.515, 0.631","0.462, 0.834","0.420, 0.907","0.590, 0.407",Preparation
2,0.06673340006673341,19.064854646574126,32.52742980217764,169.24331283166813,172.74093306261778,140.98092454180528,136.59141957058665,195.50110231802395,197.6285294490664,"0.527, 0.405","0.501, 0.440","0.516, 0.499","0.504, 0.554","0.439, 0.587","0.407, 0.595","0.468, 0.711","0.437, 0.738","0.522, 0.591","0.515, 0.629","0.463, 0.832","0.420, 0.907","0.590, 0.407",Preparation
3,0.1001001001001001,18.995399215032457,32.61648086580693,169.2077428325631,172.60010889887255,140.76128479282303,136.63162502037025,195.5741691607185,197.6708852490244,"0.527, 0.405","0.501, 0.441","0.515, 0.499","0.504, 0.555","0.439, 0.587","0.407, 0.596","0.468, 0.711","0.437, 0.739","0.522, 0.590","0.515, 0.629","0.464, 0.832","0.420, 0.907","0.590, 0.407",Preparation
4,0.13346680013346682,19.069828908128795,32.96147957503264,169.0639374773475,172.90252951704088,140.4780949728587,136.3626015470093,195.17851097145407,197.79208063467507,"0.527, 0.407","0.501, 0.442","0.515, 0.499","0.504, 0.554","0.439, 0.587","0.406, 0.596","0.468, 0.711","0.437, 0.739","0.522, 0.590","0.515, 0.627","0.465, 0.831","0.420, 0.907","0.590, 0.407",Preparation
5,0.16683350016683351,19.44270924637597,33.21547530818068,169.0005751215785,175.85613330502386,139.93179968793154,136.20775566191662,195.0897195425043,197.97923397950274,"0.527, 0.408","0.500, 0.442","0.516, 0.499","0.504, 0.551","0.438, 0.586","0.406, 0.596","0.468, 0.711","0.437, 0.738","0.522, 0.592","0.511, 0.624","0.465, 0.831","0.420, 0.907","0.590, 0.408",Preparation
6,0.2002002002002002,19.324419540151542,34.03545843636732,168.00894165607446,176.97770947041528,138.79869002686962,135.68390497490944,195.4885392240056,198.2674745166091,"0.529, 0.408","0.500, 0.442","0.516, 0.500","0.504, 0.551","0.438, 0.585","0.406, 0.595","0.469, 0.711","0.437, 0.738","0.523, 0.593","0.511, 0.625","0.465, 0.832","0.420, 0.906","0.590, 0.408",Preparation
7,0.2335669002335669,18.916054333467393,34.43416249553005,166.8403532114104,177.24728585843724,137.28092021910467,135.2113821055057,196.02853305625274,198.5222896164997,"0.533, 0.409","0.500, 0.442","0.517, 0.500","0.505, 0.551","0.437, 0.584","0.405, 0.593","0.469, 0.711","0.437, 0.737","0.523, 0.595","0.511, 0.625","0.465, 0.832","0.420, 0.906","0.590, 0.407",Preparation
8,0.26693360026693363,19.17028904765738,34.70107732078679,167.0519286529804,177.4883734496728,136.67202752340984,134.84921560548318,196.29496694157024,198.9816693910792,"0.534, 0.409","0.500, 0.442","0.518, 0.500","0.505, 0.550","0.437, 0.583","0.405, 0.593","0.469, 0.711","0.438, 0.737","0.523, 0.595","0.511, 0.626","0.465, 0.832","0.420, 0.906","0.590, 0.407",Preparation
9,0.3003003003003003,19.35004051826239,34.89644591824,166.9392844779727,177.51432996822095,136.19951217962972,134.5093391703178,196.56337162170823,199.10866462448448,"0.534, 0.409","0.500, 0.443","0.518, 0.500","0.505, 0.550","0.437, 0.582","0.405, 0.592","0.469, 0.710","0.438, 0.735","0.523, 0.595","0.511, 0.626","0.465, 0.832","0.420, 0.906","0.591, 0.407",Preparation
