Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,30.334715761155962,18.020935506148824,166.43128618143638,139.81412802668953,155.11055851360547,149.9510196510756,191.2679602869911,184.49969302186136,"0.439, 0.400","0.417, 0.407","0.446, 0.489","0.410, 0.513","0.361, 0.563","0.351, 0.571","0.359, 0.698","0.371, 0.706","0.472, 0.566","0.465, 0.587","0.330, 0.835","0.380, 0.852","0.498, 0.392",Preparation
1,0.03335334534053766,29.506264298142888,21.76107013783532,164.64780510187126,146.21293401042706,155.49467963345123,149.4714417357346,190.86882947618324,183.28613222719105,"0.440, 0.400","0.417, 0.410","0.446, 0.489","0.416, 0.513","0.362, 0.563","0.351, 0.571","0.359, 0.699","0.371, 0.706","0.473, 0.567","0.465, 0.587","0.330, 0.836","0.383, 0.855","0.498, 0.395",Preparation
2,0.06670669068107532,29.079493861288373,22.48599045938213,161.94651518522966,148.61478870441726,155.20117004143816,150.28381915548147,189.7528822742349,180.84766602276966,"0.441, 0.400","0.422, 0.410","0.445, 0.489","0.421, 0.510","0.360, 0.563","0.354, 0.571","0.357, 0.700","0.371, 0.707","0.474, 0.566","0.468, 0.587","0.330, 0.836","0.387, 0.856","0.500, 0.395",Preparation
3,0.10006003602161297,32.22008845833566,22.34791859883556,163.59010438866193,147.4781987234029,154.2988486078329,149.79232536017983,189.38419258501781,180.74822621628638,"0.444, 0.402","0.422, 0.406","0.451, 0.489","0.421, 0.508","0.361, 0.563","0.353, 0.569","0.357, 0.700","0.371, 0.706","0.482, 0.568","0.470, 0.587","0.330, 0.836","0.388, 0.855","0.500, 0.395",Preparation
4,0.13341338136215064,34.029527481058366,24.022905802017707,164.77012171100375,146.98044148614883,154.76657463806973,148.55540020764673,188.5725325181586,179.90538466254645,"0.446, 0.403","0.421, 0.405","0.455, 0.489","0.422, 0.508","0.363, 0.560","0.350, 0.565","0.357, 0.695","0.368, 0.702","0.488, 0.571","0.473, 0.587","0.330, 0.833","0.388, 0.853","0.501, 0.394",Preparation
5,0.1667667267026883,35.38218256613409,25.05679467635695,166.66839892267993,146.26234883119213,155.52686003907965,148.05397495893104,187.47590390575647,179.0092082884576,"0.448, 0.404","0.421, 0.403","0.460, 0.491","0.422, 0.509","0.366, 0.559","0.348, 0.563","0.357, 0.694","0.366, 0.700","0.491, 0.574","0.475, 0.586","0.331, 0.833","0.388, 0.850","0.503, 0.394",Preparation
6,0.20012007204322593,35.75160811117803,28.22832836913476,166.9744916779669,148.397148287747,154.7968766044311,146.7483928980928,185.8737910066961,179.54482609842955,"0.448, 0.396","0.421, 0.408","0.459, 0.483","0.426, 0.509","0.360, 0.556","0.349, 0.561","0.353, 0.690","0.367, 0.696","0.490, 0.567","0.479, 0.585","0.330, 0.828","0.390, 0.848","0.503, 0.392",Preparation
7,0.2334734173837636,37.47512312481741,30.39494411151559,168.36340126595599,150.30124050534783,153.74118229632393,146.3174882559956,186.6644307902113,179.78615391453428,"0.447, 0.394","0.421, 0.410","0.460, 0.482","0.429, 0.509","0.359, 0.553","0.349, 0.560","0.352, 0.687","0.367, 0.694","0.491, 0.565","0.482, 0.585","0.329, 0.826","0.390, 0.847","0.503, 0.389",Preparation
8,0.2668267627243013,39.100077390740516,33.72050837759244,170.31631836377645,153.6407821305347,153.37287920214027,145.704246829955,186.72716157162418,179.63936082889657,"0.447, 0.393","0.421, 0.414","0.462, 0.479","0.433, 0.510","0.358, 0.551","0.349, 0.560","0.352, 0.687","0.367, 0.694","0.491, 0.562","0.484, 0.587","0.329, 0.825","0.389, 0.846","0.504, 0.389",Preparation
9,0.3001801080648389,38.5470883158418,33.39598237943989,169.05045071918107,153.0840105402545,153.1736796913887,145.6035561066653,186.289081289047,179.8356309950558,"0.448, 0.394","0.421, 0.414","0.462, 0.479","0.433, 0.511","0.359, 0.551","0.348, 0.560","0.352, 0.688","0.367, 0.694","0.492, 0.562","0.484, 0.587","0.330, 0.825","0.388, 0.846","0.505, 0.390",Preparation
