Frame,Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Pose
0,0.0,8.443918676452514,36.974879692219965,137.70566904227923,154.85278516941705,124.99486045265763,124.56560197812063,203.21153566611127,195.65833907286586,"0.465, 0.345","0.503, 0.367","0.432, 0.430","0.506, 0.465","0.371, 0.511","0.395, 0.521","0.433, 0.641","0.444, 0.654","0.463, 0.509","0.547, 0.545","0.439, 0.773","0.457, 0.816","0.555, 0.354",Preparation
1,0.033366700033366704,29.473359569315775,38.07027207073078,147.2865128365596,155.49961014389368,126.28692632648712,124.91424239210282,208.15706774327722,195.6719678223902,"0.468, 0.345","0.503, 0.367","0.469, 0.441","0.509, 0.472","0.376, 0.511","0.395, 0.521","0.435, 0.640","0.444, 0.654","0.523, 0.525","0.548, 0.547","0.426, 0.773","0.456, 0.815","0.555, 0.355",Preparation
2,0.06673340006673341,31.21732504262203,38.48083306340962,148.58667093700853,156.04772924683445,127.25996224162361,125.55718154314681,205.78166506404972,195.39719463641308,"0.468, 0.345","0.502, 0.367","0.473, 0.444","0.510, 0.474","0.377, 0.512","0.395, 0.522","0.435, 0.641","0.444, 0.656","0.530, 0.528","0.549, 0.549","0.431, 0.766","0.456, 0.815","0.554, 0.356",Preparation
3,0.1001001001001001,31.11695458254579,38.684872625375576,148.50909940929049,156.41474667178983,127.9786020552393,126.20224436058564,202.5997643830805,195.04715269439689,"0.469, 0.345","0.502, 0.367","0.473, 0.445","0.510, 0.475","0.378, 0.512","0.396, 0.522","0.435, 0.642","0.444, 0.659","0.531, 0.530","0.549, 0.549","0.437, 0.768","0.456, 0.815","0.554, 0.356",Preparation
4,0.13346680013346682,30.47711663501681,38.84144575168094,148.57296207834753,156.67771629756913,127.93730604790314,126.51126209262887,201.46262785019613,194.91149921610233,"0.469, 0.345","0.501, 0.367","0.473, 0.445","0.510, 0.475","0.379, 0.512","0.396, 0.522","0.436, 0.642","0.444, 0.659","0.528, 0.528","0.549, 0.549","0.440, 0.767","0.456, 0.814","0.554, 0.356",Preparation
5,0.16683350016683351,30.01062163674116,38.93428230194887,147.4908703601971,156.91899214631167,127.59181666860692,126.58993872421703,201.3030324073074,195.23077585242876,"0.470, 0.346","0.501, 0.367","0.472, 0.446","0.510, 0.475","0.379, 0.512","0.396, 0.522","0.436, 0.641","0.445, 0.661","0.527, 0.527","0.549, 0.549","0.442, 0.766","0.456, 0.814","0.555, 0.356",Preparation
6,0.2002002002002002,30.102426606965384,39.041395228697525,147.73928464177496,157.01318985657818,127.81156212066172,126.81494987187229,201.35444836440988,194.80620200083158,"0.470, 0.346","0.501, 0.367","0.473, 0.447","0.510, 0.475","0.380, 0.512","0.396, 0.522","0.436, 0.640","0.444, 0.661","0.527, 0.527","0.550, 0.549","0.442, 0.766","0.456, 0.812","0.555, 0.356",Preparation
7,0.2335669002335669,29.48011393748008,39.37135344145931,146.93121722788948,157.11817394467667,127.48134770633476,126.38923851519982,206.27524176709383,195.01534639070982,"0.470, 0.346","0.501, 0.367","0.472, 0.447","0.511, 0.476","0.380, 0.511","0.396, 0.521","0.437, 0.638","0.444, 0.657","0.525, 0.526","0.550, 0.550","0.431, 0.772","0.456, 0.810","0.555, 0.356",Preparation
8,0.26693360026693363,28.799861070567935,39.48166449346215,145.7297651095623,156.74188259525604,127.28654600593816,126.167608837461,207.3134317172608,194.93087940887335,"0.471, 0.347","0.501, 0.367","0.471, 0.446","0.511, 0.477","0.381, 0.510","0.396, 0.520","0.437, 0.637","0.443, 0.654","0.525, 0.526","0.550, 0.550","0.428, 0.775","0.456, 0.809","0.555, 0.356",Preparation
9,0.3003003003003003,28.398448774636062,39.59609307737575,145.38414514393224,156.36390456688613,127.13015748562506,126.0064874109293,207.81919012906528,194.9673999094344,"0.471, 0.347","0.501, 0.367","0.470, 0.447","0.511, 0.479","0.381, 0.510","0.396, 0.520","0.437, 0.637","0.443, 0.653","0.525, 0.527","0.550, 0.550","0.427, 0.776","0.456, 0.808","0.555, 0.356",Preparation
