Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Left Wrist x,Left Wrist y,Right Wrist x,Right Wrist y,Left Ankle x,Left Ankle y,Right Ankle x,Right Ankle y,Left Shoulder x,Left Shoulder y,Right Shoulder x,Right Shoulder y,Left Elbow x,Left Elbow y,Right Elbow x,Right Elbow y,Left Hip x,Left Hip y,Right Hip x,Right Hip y,Left Knee x,Left Knee y,Right Knee x,Right Knee y,Predicted_Pose
0.0,26.096188126741435,42.65617221206475,151.15711316375575,157.29067317956412,131.52614354647625,129.0006421088211,216.44962911684095,193.2212989338513,"0.426, 0.326","0.433, 0.362","0.409, 0.431","0.446, 0.506","0.298, 0.507","0.307, 0.527","0.338, 0.683","0.347, 0.689","0.437, 0.511","0.493, 0.593","0.260, 0.864","0.349, 0.880","0.515, 0.338",0.437,0.511,0.493,0.593,0.26,0.864,0.349,0.88,0.426,0.326,0.433,0.362,0.409,0.431,0.446,0.506,0.298,0.507,0.307,0.527,0.338,0.683,0.347,0.689,Preparation
0.0333667000333667,26.9848226245142,38.40000715568191,150.80112414650685,158.527090055636,133.86586728851887,134.19476733024192,202.3156206321681,192.617698055191,"0.419, 0.324","0.435, 0.354","0.409, 0.437","0.445, 0.494","0.298, 0.517","0.314, 0.533","0.339, 0.683","0.347, 0.695","0.445, 0.517","0.491, 0.589","0.313, 0.862","0.344, 0.880","0.511, 0.339",0.445,0.517,0.491,0.589,0.313,0.862,0.344,0.88,0.419,0.324,0.435,0.354,0.409,0.437,0.445,0.494,0.298,0.517,0.314,0.533,0.339,0.683,0.347,0.695,Preparation
0.0667334000667334,28.129219725005942,35.630033979155066,151.31869787486295,157.02311145588033,135.54689460618135,137.1603774362621,197.1365779627736,191.4328552721538,"0.413, 0.322","0.436, 0.352","0.409, 0.439","0.443, 0.491","0.298, 0.521","0.317, 0.538","0.340, 0.683","0.347, 0.704","0.448, 0.517","0.490, 0.587","0.331, 0.859","0.343, 0.887","0.511, 0.339",0.448,0.517,0.49,0.587,0.331,0.859,0.343,0.887,0.413,0.322,0.436,0.352,0.409,0.439,0.443,0.491,0.298,0.521,0.317,0.538,0.34,0.683,0.347,0.704,Preparation
0.1001001001001001,35.841227900190205,33.539042989551845,158.5402135170572,154.24296270244542,136.11872379607632,138.25506641587145,194.3825791667311,191.1965173591261,"0.417, 0.323","0.436, 0.351","0.430, 0.459","0.440, 0.491","0.302, 0.520","0.318, 0.541","0.342, 0.684","0.347, 0.707","0.472, 0.541","0.488, 0.583","0.340, 0.859","0.342, 0.888","0.511, 0.340",0.472,0.541,0.488,0.583,0.34,0.859,0.342,0.888,0.417,0.323,0.436,0.351,0.43,0.459,0.44,0.491,0.302,0.52,0.318,0.541,0.342,0.684,0.347,0.707,Preparation
0.1334668001334668,37.71840012664845,32.60449258034568,163.48974424076735,153.44151544059238,137.25386373342218,139.57393837437303,195.03014587327925,191.2931011319006,"0.420, 0.323","0.436, 0.349","0.437, 0.457","0.439, 0.489","0.305, 0.519","0.320, 0.540","0.342, 0.685","0.347, 0.706","0.476, 0.543","0.488, 0.580","0.334, 0.863","0.340, 0.887","0.511, 0.341",0.476,0.543,0.488,0.58,0.334,0.863,0.34,0.887,0.42,0.323,0.436,0.349,0.437,0.457,0.439,0.489,0.305,0.519,0.32,0.54,0.342,0.685,0.347,0.706,Preparation
0.1668335001668335,37.3446385744663,32.743938660063804,166.8911876770032,153.85356894458272,137.427191162201,139.4543272840525,195.4488462714147,194.19650613939956,"0.420, 0.323","0.438, 0.350","0.437, 0.454","0.441, 0.490","0.306, 0.519","0.320, 0.541","0.342, 0.686","0.345, 0.706","0.469, 0.540","0.488, 0.582","0.332, 0.867","0.328, 0.887","0.511, 0.342",0.469,0.54,0.488,0.582,0.332,0.867,0.328,0.887,0.42,0.323,0.438,0.35,0.437,0.454,0.441,0.49,0.306,0.519,0.32,0.541,0.342,0.686,0.345,0.706,Preparation
0.2002002002002002,34.95128659670862,32.78166275244142,162.5718577494261,154.10932295166307,138.6817669340941,139.4202767482693,195.4506072060304,194.2576171205351,"0.423, 0.325","0.438, 0.350","0.434, 0.452","0.440, 0.491","0.309, 0.520","0.319, 0.541","0.342, 0.687","0.345, 0.706","0.467, 0.534","0.488, 0.585","0.328, 0.870","0.328, 0.886","0.513, 0.342",0.467,0.534,0.488,0.585,0.328,0.87,0.328,0.886,0.423,0.325,0.438,0.35,0.434,0.452,0.44,0.491,0.309,0.52,0.319,0.541,0.342,0.687,0.345,0.706,Preparation
0.2335669002335669,35.8205996308314,30.21131283146788,167.73490595419702,150.862815946798,141.82738056748627,141.90802030998674,188.85507949446443,195.28429083842755,"0.426, 0.326","0.438, 0.350","0.441, 0.454","0.436, 0.493","0.316, 0.522","0.322, 0.545","0.342, 0.691","0.343, 0.710","0.471, 0.542","0.488, 0.588","0.342, 0.870","0.318, 0.885","0.512, 0.343",0.471,0.542,0.488,0.588,0.342,0.87,0.318,0.885,0.426,0.326,0.438,0.35,0.441,0.454,0.436,0.493,0.316,0.522,0.322,0.545,0.342,0.691,0.343,0.71,Preparation
0.2669336002669336,37.31877924438034,28.25776331445777,171.57543980486437,147.7946712460107,141.7136852685455,142.09750087780043,189.9358733857114,195.4346163269312,"0.429, 0.327","0.437, 0.350","0.447, 0.453","0.432, 0.494","0.318, 0.526","0.321, 0.548","0.345, 0.694","0.343, 0.712","0.473, 0.539","0.488, 0.591","0.342, 0.871","0.319, 0.884","0.511, 0.344",0.473,0.539,0.488,0.591,0.342,0.871,0.319,0.884,0.429,0.327,0.437,0.35,0.447,0.453,0.432,0.494,0.318,0.526,0.321,0.548,0.345,0.694,0.343,0.712,Preparation
0.3003003003003003,37.599331234480594,27.03254137553545,173.13074113663924,144.34014762354528,140.49933002101463,141.5548403967418,187.52940188188128,195.18727555172936,"0.435, 0.330","0.437, 0.350","0.450, 0.452","0.428, 0.495","0.320, 0.526","0.321, 0.547","0.347, 0.692","0.344, 0.711","0.472, 0.537","0.488, 0.591","0.351, 0.868","0.321, 0.887","0.511, 0.344",0.472,0.537,0.488,0.591,0.351,0.868,0.321,0.887,0.435,0.33,0.437,0.35,0.45,0.452,0.428,0.495,0.32,0.526,0.321,0.547,0.347,0.692,0.344,0.711,Preparation
0.333667000333667,36.31233474565084,27.27678512109297,170.35270119499796,144.3223977248986,139.995650790907,141.0852803127938,188.1817782236712,195.5349210944901,"0.434, 0.330","0.437, 0.350","0.447, 0.453","0.429, 0.497","0.319, 0.525","0.321, 0.546","0.347, 0.690","0.346, 0.711","0.470, 0.538","0.488, 0.591","0.351, 0.868","0.324, 0.887","0.511, 0.344",0.47,0.538,0.488,0.591,0.351,0.868,0.324,0.887,0.434,0.33,0.437,0.35,0.447,0.453,0.429,0.497,0.319,0.525,0.321,0.546,0.347,0.69,0.346,0.711,Preparation
0.3670337003670337,36.04625031686667,26.45931582179878,167.34548536373669,143.27101422899912,139.63161895937722,141.609519796207,185.2322023082808,193.79308615617532,"0.434, 0.330","0.437, 0.350","0.446, 0.455","0.428, 0.497","0.318, 0.527","0.324, 0.547","0.347, 0.691","0.349, 0.716","0.477, 0.548","0.488, 0.588","0.361, 0.860","0.333, 0.893","0.511, 0.343",0.477,0.548,0.488,0.588,0.361,0.86,0.333,0.893,0.434,0.33,0.437,0.35,0.446,0.455,0.428,0.497,0.318,0.527,0.324,0.547,0.347,0.691,0.349,0.716,Preparation
0.4004004004004004,31.1152778278304,25.980994495297537,155.85376114902348,142.76372710370765,139.77750319063796,141.83336343750267,186.32244667826495,194.18670685397475,"0.431, 0.328","0.437, 0.348","0.434, 0.457","0.429, 0.497","0.317, 0.527","0.325, 0.548","0.346, 0.691","0.352, 0.716","0.475, 0.545","0.490, 0.587","0.358, 0.859","0.336, 0.893","0.511, 0.342",0.475,0.545,0.49,0.587,0.358,0.859,0.336,0.893,0.431,0.328,0.437,0.348,0.434,0.457,0.429,0.497,0.317,0.527,0.325,0.548,0.346,0.691,0.352,0.716,Preparation
0.4337671004337671,31.668442609371372,26.01759514737902,157.18092626343085,142.14475599545588,140.88722700394598,141.84074128286096,186.93320976157875,194.3595624028068,"0.428, 0.328","0.437, 0.347","0.434, 0.457","0.429, 0.497","0.316, 0.528","0.326, 0.548","0.345, 0.691","0.352, 0.715","0.475, 0.544","0.491, 0.586","0.354, 0.867","0.336, 0.892","0.511, 0.339",0.475,0.544,0.491,0.586,0.354,0.867,0.336,0.892,0.428,0.328,0.437,0.347,0.434,0.457,0.429,0.497,0.316,0.528,0.326,0.548,0.345,0.691,0.352,0.715,Preparation
0.4671338004671338,38.59455701497798,25.912190425661645,169.1359639756773,140.70442075937822,141.47144453686346,141.0020803756272,190.6258912936082,195.73050123951785,"0.427, 0.333","0.437, 0.346","0.446, 0.456","0.429, 0.497","0.316, 0.528","0.326, 0.548","0.341, 0.691","0.355, 0.711","0.477, 0.543","0.494, 0.586","0.336, 0.867","0.337, 0.892","0.511, 0.337",0.477,0.543,0.494,0.586,0.336,0.867,0.337,0.892,0.427,0.333,0.437,0.346,0.446,0.456,0.429,0.497,0.316,0.528,0.326,0.548,0.341,0.691,0.355,0.711,Preparation
0.5005005005005005,42.047156905061584,25.264991631721934,173.75694323931225,138.3827827641557,141.97374056003162,141.14680367635188,188.50159982100547,196.22866212974228,"0.422, 0.335","0.437, 0.346","0.450, 0.453","0.428, 0.492","0.315, 0.527","0.327, 0.547","0.341, 0.690","0.356, 0.711","0.481, 0.542","0.495, 0.577","0.343, 0.856","0.337, 0.892","0.509, 0.333",0.481,0.542,0.495,0.577,0.343,0.856,0.337,0.892,0.422,0.335,0.437,0.346,0.45,0.453,0.428,0.492,0.315,0.527,0.327,0.547,0.341,0.69,0.356,0.711,Preparation
