Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose"
0.0,2.1056335118712624,4.831575911984932,182.08116242620642,177.7351222412296,159.55855072304036,190.5127002450579,183.36573110053834,176.7782073517602,"0.552, 0.299","0.421, 0.313","0.528, 0.444","0.446, 0.466","0.505, 0.530","0.438, 0.528","0.530, 0.687","0.420, 0.697","0.502, 0.575","0.473, 0.595","0.547, 0.855","0.412, 0.865","0.494, 0.252"
0.07301401869158879,1.9256755492823707,4.911957302105663,181.79787551992712,176.75321374268077,159.80727311444352,190.47131927663145,183.4020116566041,176.7749151049794,"0.552, 0.301","0.421, 0.313","0.528, 0.445","0.446, 0.465","0.506, 0.531","0.438, 0.530","0.530, 0.686","0.420, 0.696","0.502, 0.577","0.475, 0.594","0.547, 0.857","0.412, 0.865","0.494, 0.249"
0.14602803738317757,1.8487518570639017,4.9702945009281905,181.65723989840086,176.3212228115281,159.84023188823278,190.3560335497373,183.48012168972951,176.8539308644117,"0.552, 0.302","0.421, 0.313","0.528, 0.445","0.446, 0.465","0.506, 0.531","0.438, 0.530","0.530, 0.684","0.420, 0.695","0.502, 0.578","0.476, 0.593","0.547, 0.858","0.411, 0.865","0.493, 0.247"
0.21904205607476634,1.8526920031939844,5.003205722251905,181.67368828139,176.0346518404331,159.74895932644387,190.2746793794565,183.70129666042374,176.9173632824257,"0.552, 0.302","0.421, 0.313","0.528, 0.446","0.446, 0.464","0.506, 0.531","0.438, 0.530","0.530, 0.682","0.420, 0.694","0.502, 0.578","0.476, 0.592","0.547, 0.858","0.411, 0.864","0.492, 0.247"
0.29205607476635514,1.8915589386413025,5.094172948751278,181.6298260015098,175.81351691388016,159.73050738332165,190.07869938407643,183.77516374667985,177.08727042128285,"0.552, 0.303","0.422, 0.313","0.528, 0.446","0.446, 0.464","0.506, 0.531","0.437, 0.530","0.530, 0.682","0.420, 0.694","0.502, 0.580","0.477, 0.592","0.547, 0.858","0.411, 0.864","0.492, 0.247"
0.3650700934579439,1.9709284319462559,5.1498564533848645,181.6568276959133,175.70339766403208,159.66067557120766,189.99255108211705,183.9733239887761,177.12065420016194,"0.552, 0.303","0.422, 0.313","0.528, 0.446","0.446, 0.463","0.506, 0.531","0.437, 0.531","0.531, 0.683","0.420, 0.693","0.502, 0.580","0.477, 0.591","0.546, 0.859","0.411, 0.864","0.491, 0.247"
0.4380841121495327,1.945995046816184,5.194279948784747,181.56672006182447,175.66810033074708,159.57560031145462,189.95821531067543,184.21587812356353,177.11679339971602,"0.552, 0.303","0.422, 0.313","0.528, 0.446","0.446, 0.463","0.506, 0.532","0.437, 0.531","0.531, 0.683","0.420, 0.693","0.503, 0.581","0.477, 0.591","0.546, 0.860","0.411, 0.864","0.491, 0.247"
0.5110981308411214,1.9667190343676573,5.2072519102207595,181.63833951294572,175.5571882007249,159.58540077820575,189.92497720002467,184.28175868331547,177.12805764090893,"0.552, 0.303","0.422, 0.313","0.528, 0.446","0.446, 0.462","0.506, 0.532","0.437, 0.531","0.531, 0.683","0.420, 0.693","0.503, 0.581","0.477, 0.591","0.546, 0.860","0.411, 0.864","0.490, 0.247"
0.5841121495327103,1.9587095330307644,5.21086170886231,181.66213810012698,175.42924857918337,159.52499834619493,189.83516868802735,184.44385598481392,177.20263638006088,"0.551, 0.303","0.422, 0.313","0.528, 0.446","0.446, 0.462","0.506, 0.532","0.437, 0.531","0.531, 0.681","0.420, 0.693","0.503, 0.580","0.477, 0.591","0.546, 0.860","0.411, 0.864","0.490, 0.247"
0.657126168224299,1.8358526803072095,5.183017023216094,181.4626061567651,175.33307927376197,159.523500903352,189.80224350080948,184.55872140721806,177.25421316019475,"0.551, 0.303","0.422, 0.313","0.528, 0.446","0.446, 0.462","0.506, 0.532","0.437, 0.531","0.531, 0.680","0.420, 0.693","0.503, 0.580","0.477, 0.590","0.546, 0.860","0.411, 0.864","0.490, 0.246"
